mall_name;mall_address;mall_coordinates;mall_lat;mall_lon
РИО 2;Дмитровское ш., 163а, Москва;[55.909508, 37.540127];55.909508;37.540127
РИО 3;Ленинский просп., 109, Москва;[55.663948, 37.51147];55.663948;37.51147
Ритейл Парк;Варшавское ш., 97, Москва;[55.633343, 37.624146];55.633343;37.624146
Ролл Холл;Холодильный пер., 3, Москва;[55.708263, 37.62547];55.708263;37.62547
Светофор;ул. Побратимов, 7, Люберцы, Московская обл.;[55.69208, 37.89661];55.69208;37.89661
Свиблово;Снежная ул., 27, Москва;[55.856182, 37.652466];55.856182;37.652466
Семёновский;Семёновская пл., 1, Москва;[55.782764, 37.72045];55.782764;37.72045
Серебряный дом;Большая Семёновская ул., 16, Москва;[55.781994, 37.70407];55.781994;37.70407
Смоленский пассаж;Смоленская пл.‚ 3, Москва;[55.74858, 37.582523];55.74858;37.582523
Сокольники;Русаковская ул., 31, Москва;[55.788513, 37.678593];55.788513;37.678593
Спектр;Новоясеневский просп., 1а, Москва;[55.61938, 37.509304];55.61938;37.509304
Таганский пассаж;Таганская ул., 3, Москва;[55.741318, 37.658607];55.741318;37.658607
Твой дом;66 км МКАД, Москва;[55.814774, 37.390472];55.814774;37.390472
ТД Весна;ул. Новый Арбат, 19, Москва;[55.75189, 37.588562];55.75189;37.588562
Трамплин;Ярцевская ул., 25А, Москва;[55.74103, 37.415447];55.74103;37.415447
Тройка;Верхняя Красносельская ул., 3а, Москва;[55.785625, 37.665752];55.785625;37.665752
УниверСити;пл. Джавахарлала Неру, 1, Москва;[55.693306, 37.533764];55.693306;37.533764
Фестиваль;Мичуринский просп., 3, корп. 1, Москва;[55.704163, 37.512302];55.704163;37.512302
Филион;Багратионовский пр., 5, Москва;[55.744694, 37.510857];55.744694;37.510857
Цветной;Цветной бул., 15, стр. 1, Москва;[55.771248, 37.620083];55.771248;37.620083
ЦУМ;ул. Петровка, 2, Москва;[55.760822, 37.619755];55.760822;37.619755
Черемушки;Профсоюзная ул., 56, Москва;[55.67014, 37.552525];55.67014;37.552525
Шоколад;МКАД 2 км, Реутов, Московская обл.;[55.76421, 37.84499];55.76421;37.84499
Штаер;Балаклавский просп., 5а, Москва;[55.640556, 37.60843];55.640556;37.60843
Щука;Щукинская ул., 42, Москва;[55.809345, 37.464752];55.809345;37.464752
