;stop_id;stop_name;lon;lat;count;geometry;color
5231;1001879;Коттеджный поселок «Рассудово»;36.91511685;55.48806711;136;POINT (36.91511685 55.48806711);green
5232;1001880;Коттеджный поселок «Рассудово»;36.91588615;55.48852937;138;POINT (36.91588615 55.48852937);green
5233;1001881;Дер. Рассудово;36.91260341;55.48412757;136;POINT (36.91260341 55.48412757);green
5234;1001882;Дер. Рассудово;36.91188002;55.48482206;138;POINT (36.91188002 55.48482206);green
5235;1001920;Метро «Лубянка»;37.62612448;55.76010124;132;POINT (37.62612448 55.76010124);green
5236;1001924;Пречистенка;37.58725228;55.73912754;132;POINT (37.58725228 55.73912754);green
5237;1001925;Пречистенка;37.588038711464;55.73924988572;100;POINT (37.588038711464 55.73924988572);green
5238;1001926;Боровицкая пл.;37.60805626;55.74793016;132;POINT (37.60805626 55.74793016);green
5239;1001927;Боровицкая пл.;37.60848795;55.74800023;100;POINT (37.60848795 55.74800023);green
5240;1001941;Дангауэровка;37.71699597;55.73833743;121;POINT (37.71699597 55.73833743);green
5241;1001951;Метро «Кропоткинская»;37.6021431996349;55.7447550140536;132;POINT (37.6021431996349 55.7447550140536);green
5242;1001983;Дангауэровка;37.7177274546251;55.7384013877471;108;POINT (37.7177274546251 55.7384013877471);green
5243;1002005;ПСК «Сотрудничество»;37.16314988;55.54552044;104;POINT (37.16314988 55.54552044);green
5244;1002006;ПСК «Сотрудничество»;37.16423708;55.54509004;110;POINT (37.16423708 55.54509004);green
5245;1002007;Весенино-2;37.16976061;55.54410121;104;POINT (37.16976061 55.54410121);green
5246;1002008;Весенино-2;37.17371091;55.54302686;110;POINT (37.17371091 55.54302686);green
5247;1002009;Весенино-1;37.17772468;55.54240038;104;POINT (37.17772468 55.54240038);green
5248;1002010;Весенино-1;37.17882375;55.54187645;110;POINT (37.17882375 55.54187645);green
5249;1002011;Рогозинино-2;37.19076487;55.54020985;104;POINT (37.19076487 55.54020985);green
5250;1002012;Рогозинино-2;37.1921488;55.53980172;110;POINT (37.1921488 55.53980172);green
5251;1002013;Поворот на Горчаково;37.20404147;55.53539998;110;POINT (37.20404147 55.53539998);green
5252;1002014;Поворот на Горчаково;37.20329549;55.53602344;104;POINT (37.20329549 55.53602344);green
5253;1002015;Поворот на Птичное;37.21915958;55.53356592;104;POINT (37.21915958 55.53356592);green
5254;1002021;Производственный комплекс;37.24387326;55.51131385;104;POINT (37.24387326 55.51131385);green
