post_index;post_address;post_coordinates;post_lat;post_lon
109145;г Москва , Жулебинский б-р, 1;[55.699524, 37.84236];55.699524;37.84236
109147;г Москва , Марксистская ул, 9;[55.73512, 37.66775];55.73512;37.66775
109153;г Москва , Лермонтовский пр-кт, 12;[55.699097, 37.854694];55.699097;37.854694
109156;г Москва , Жулебинский б-р, 28, к.1;[55.69, 37.854412];55.69;37.854412
109202;г Москва , Перовское ш, 18/1;[55.736164, 37.752674];55.736164;37.752674
109235;г Москва , Курьяновская 1-Я ул, 26/1;[55.65539, 37.704704];55.65539;37.704704
109240;г Москва , Котельническая наб, 1/15К;[55.743042, 37.64452];55.743042;37.64452
109263;г Москва , Текстильщиков 7-Я ул, 4;[55.698635, 37.74655];55.698635;37.74655
109316;г Москва , Волгоградский пр-кт, 17;[55.728977, 37.67824];55.728977;37.67824
109341;г Москва , Перерва ул, 56/2;[55.658176, 37.74892];55.658176;37.74892
109369;г Москва , Перерва ул, 24, стр.2;[55.651527, 37.73057];55.651527;37.73057
109377;г Москва , Новокузьминская 1-Я ул, 15/5;[55.715347, 37.789402];55.715347;37.789402
109378;г Москва , Есенинский б-р, 1/26;[55.70769, 37.781826];55.70769;37.781826
109380;г Москва , Головачёва ул, 15;[55.673313, 37.810493];55.673313;37.810493
109382;г Москва , Люблинская ул, 129/2;[55.671707, 37.740543];55.671707;37.740543
109383;г Москва , Шоссейная ул, 66;[55.673054, 37.721706];55.673054;37.721706
109386;г Москва , Новороссийская ул, 8;[55.6792, 37.759476];55.6792;37.759476
109387;г Москва , Люблинская ул, 107/10;[55.676743, 37.73882];55.676743;37.73882
109388;г Москва , Шоссейная ул, 35;[55.67958, 37.726185];55.67958;37.726185
109390;г Москва , Юных Ленинцев ул, 3;[55.699543, 37.736042];55.699543;37.736042
109417;г Москва , Рязанский пр-кт, 82, к.5;[55.70861, 37.825806];55.70861;37.825806
109428;г Москва , Михайлова ул, 39;[55.723717, 37.779865];55.723717;37.779865
109429;г Москва , Капотня 2-Й кв-л, 22;[54.996513, 73.42581];54.996513;73.42581
109431;г Москва , Авиаконструктора Миля ул, 4, к.1;[55.68585, 37.85098];55.68585;37.85098
109439;г Москва , Волгоградский пр-кт, 122, к.2;[55.702766, 37.78174];55.702766;37.78174
109443;г Москва , Волгоградский пр-кт, 88;[55.704426, 37.76928];55.704426;37.76928
109444;г Москва , Ташкентская ул, 15/22;[55.70393, 37.817905];55.70393;37.817905
109451;г Москва , Братиславская ул, 15, к.1;[55.659775, 37.759117];55.659775;37.759117
109456;г Москва , Рязанский пр-кт, 67/2;[55.71925, 37.781723];55.71925;37.781723
109457;г Москва , Зеленодольская ул, 24, к.2;[55.71148, 37.77316];55.71148;37.77316
109462;г Москва , Маршала Чуйкова ул, 14;[55.698483, 37.761623];55.698483;37.761623
109469;г Москва , Братиславская ул, 26;[55.6541, 37.763878];55.6541;37.763878
109472;г Москва , Ташкентская ул, 35;[55.694798, 37.803116];55.694798;37.803116
109507;г Москва , Ферганский пр., 14, к.3;[55.69402, 37.81732];55.69402;37.81732
109518;г Москва , Грайвороновская ул, 14, к.1;[55.719063, 37.732895];55.719063;37.732895
109542;г Москва , Рязанский пр-кт, 97;[55.714817, 37.809025];55.714817;37.809025
109544;г Москва , Рабочая ул, 4;[55.74519, 37.681206];55.74519;37.681206
109548;г Москва , Гурьянова ул, 2, к.4;[55.694164, 37.71962];55.694164;37.71962
109559;г Москва , Совхозная ул, 12;[55.67734, 37.763336];55.67734;37.763336
109649;г Москва , Капотня 5-Й кв-л, 24;[55.82147, 37.490578];55.82147;37.490578
109651;г Москва , Новочеркасский б-р, 5, стр.2;[55.647346, 37.72073];55.647346;37.72073
109652;г Москва , Новомарьинская ул, 4;[55.650883, 37.748566];55.650883;37.748566
111020;г Москва , Боровая ул, 20;[55.766872, 37.716827];55.766872;37.716827
111024;г Москва , Энтузиастов ш, 22/18;[55.75069, 37.717354];55.75069;37.717354
111033;г Москва , Красноказарменная пл, 1;[55.76001, 37.685726];55.76001;37.685726
111116;г Москва , Энергетическая ул, 9;[55.75783, 37.713898];55.75783;37.713898
111123;г Москва , Владимирская 2-Я ул, 3;[55.76201, 37.778954];55.76201;37.778954
111141;г Москва , Перовская ул, 33, к.1;[55.74746, 37.775772];55.74746;37.775772
111250;г Москва , Красноказарменная ул, 9;[55.75818, 37.69767];55.75818;37.69767
111394;г Москва , Новогиреевская ул, 54;[55.74815, 37.800323];55.74815;37.800323
111395;г Москва , Красный Казанец ул, 1Г;[55.722797, 37.803936];55.722797;37.803936
111396;г Москва , Зелёный пр-кт, 66, к.1;[55.749985, 37.82344];55.749985;37.82344
111397;г Москва , Владимирская 3-Я ул, 31/33;[55.758434, 37.787907];55.758434;37.787907
111398;г Москва , Плеханова ул, 30;[55.739132, 37.76838];55.739132;37.76838
111399;г Москва , Мартеновская ул, 3;[55.759335, 37.80616];55.759335;37.80616
111401;г Москва , Металлургов ул, 11;[55.757977, 37.782257];55.757977;37.782257
111402;г Москва , Старый Гай ул, 8Б;[55.74026, 37.82698];55.74026;37.82698
111524;г Москва , Перовская ул, 8, к.1;[55.74694, 37.75866];55.74694;37.75866
111531;г Москва , Энтузиастов ш, 98Г, стр.1;[55.773205, 37.832684];55.773205;37.832684
111538;г Москва , Вешняковская ул, 29Б;[55.723373, 37.83005];55.723373;37.83005
111539;г Москва , Реутовская ул, 10Д;[55.738075, 37.831917];55.738075;37.831917
111555;г Москва , Молостовых ул, 1Б;[55.76481, 37.83331];55.76481;37.83331
111558;г Москва , Молостовых ул, 16, к.1;[55.75253, 37.831287];55.75253;37.831287
111621;г Москва , Оренбургская ул, 13, к.1;[55.71325, 37.861134];55.71325;37.861134
111622;г Москва , Оранжерейная ул, 14;[55.71813, 37.86409];55.71813;37.86409
111625;г Москва , Михельсона ул, 20;[55.70244, 37.860382];55.70244;37.860382
111672;г Москва , Салтыковская ул, 27;[55.73908, 37.87271];55.73908;37.87271
111673;г Москва , Суздальская ул, 16А;[55.741386, 37.84826];55.741386;37.84826
111674;г Москва , Вольская 1-Я ул, 22, к.1;[55.683193, 37.927082];55.683193;37.927082
111675;г Москва , Лухмановская ул, 17, к.1;[55.721863, 37.8967];55.721863;37.8967
115035;г Москва , Кадашёвская наб, 36, стр.1;[55.74574, 37.625713];55.74574;37.625713
115054;г Москва , Дубининская ул, 11, стр.2;[55.72802, 37.63838];55.72802;37.63838
115068;г Москва , Ленинская Слобода ул, 4/10;[55.709705, 37.655178];55.709705;37.655178
115088;г Москва , Шарикоподшипниковская ул, 32;[55.716255, 37.6764];55.716255;37.6764
115093;г Москва , Серпуховская Б. ул, 40, стр.1;[55.72327, 37.626602];55.72327;37.626602
115095;г Москва , Пятницкая ул, 54, стр.2;[55.73409, 37.626564];55.73409;37.626564
115114;г Москва , Дербеневская наб, 13/17, к.1;[55.718567, 37.64794];55.718567;37.64794
115127;г Москва , Варшавское ш, 37;[55.688423, 37.6236];55.688423;37.6236
115142;г Москва , Коломенская ул, 17, к.3;[55.678246, 37.697426];55.678246;37.697426
115162;г Москва , Хавская ул, 3;[55.718826, 37.613968];55.718826;37.613968
115172;г Москва , Народная ул, 9;[55.73842, 37.652157];55.73842;37.652157
115184;г Москва , Озерковский пер, 13/19, стр.1;[55.73997, 37.633427];55.73997;37.633427
115191;г Москва , Тульская Б. ул, 2;[55.708668, 37.620754];55.708668;37.620754
115193;г Москва , Сайкина ул, 2;[55.70667, 37.66588];55.70667;37.66588
115201;г Москва , Каширский пр., 9, к.1;[55.659218, 37.62468];55.659218;37.62468
115211;г Москва , Каширское ш, 55, к.5;[55.6394, 37.695263];55.6394;37.695263
115225;г Москва , Тульская Б. ул, 17;[55.707523, 37.62347];55.707523;37.62347
115230;г Москва , Варшавское ш, 59А, стр.3;[55.67564, 37.62691];55.67564;37.62691
115280;г Москва , Автозаводская ул, 5;[55.708595, 37.66228];55.708595;37.66228
115304;г Москва , Медиков ул, 20;[55.632977, 37.678745];55.632977;37.678745
115326;г Москва , Нахимовский пр-кт, 35, к.1;[55.668816, 37.590237];55.668816;37.590237
115372;г Москва , Бирюлёвская ул, 55, к.1, стр.2;[55.583363, 37.677135];55.583363;37.677135
115404;г Москва , Касимовская ул, 37;[55.592255, 37.65872];55.592255;37.65872
115407;г Москва , Якорная ул, 9;[55.6852, 37.686653];55.6852;37.686653
115408;г Москва , Алма-Атинская ул, 8, к.3;[55.638924, 37.770817];55.638924;37.770817
115409;г Москва , Каширское ш, 54, к.1;[55.645763, 37.66954];55.645763;37.66954
115419;г Москва , Шаболовка ул, 69/32;[55.720394, 37.609764];55.720394;37.609764
115432;г Москва , Трофимова ул, 15;[55.703674, 37.673534];55.703674;37.673534
115446;г Москва , Коломенский пр., 6, к.1;[55.664726, 37.64831];55.664726;37.64831
115470;г Москва , Судостроительная ул, 13;[55.680805, 37.6722];55.680805;37.6722
115477;г Москва , Пролетарский пр-кт, 20, к.1;[55.633644, 37.657482];55.633644;37.657482
115478;г Москва , Каширское ш, 24;[55.656284, 37.643562];55.656284;37.643562
