;route_id;service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date;count
55;141024;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1509
56;141024;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1798
57;141025;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;2517
58;141025;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2186
59;141025;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;2517
60;141025;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2186
61;141026;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;2564
62;141026;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2257
63;141026;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;2359
64;141026;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2134
65;141027;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;3021
66;141027;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2544
67;141027;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;2968
68;141027;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2544
69;141028;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1851
70;141028;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;3180
71;141028;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1755
72;141028;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2890
73;141029;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;988
74;141029;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;650
75;141029;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;923
76;141029;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;637
77;141031;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;2448
78;141031;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2628
79;141031;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;2448
80;141031;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2628
81;141032;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4880
82;141032;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;4941
83;141032;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4819
84;141032;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;4270
85;141033;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;2016
86;141033;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1736
87;141033;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;2016
88;141033;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1736
89;141034;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4536
90;141034;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;3456
91;141034;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4248
92;141034;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;3456
