Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1992;Нет;Исправный;58;60;Не присвоен;4;;5;;1;646152;;;На счете регионального оператора;;;;;;;;;
1971;Нет;Исправный;117;76;Не присвоен;8;;5;;1;646154;1;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;8;;Не присвоен;1;;2;2;;537877;;;На счете регионального оператора;0;;;;;;;;
1966;Нет;Исправный;4;;Не присвоен;1;;2;2;;537876;;;На счете регионального оператора;0;;;;;;;;
2013;Нет;Исправный;68;;C;;;3;1;;804744;;;На счете регионального оператора;;Нет;;;;;;;
2013;Нет;Исправный;68;;C;;;3;1;;804746;;;На счете регионального оператора;;Нет;Многоквартирный дом;;;;;;
2014;Нет;Исправный;68;;;;;3;1;;1068892;;;На счете регионального оператора;;Нет;;;;;;;
2014;Нет;Исправный;68;;;;;;;;1068893;;;;;Нет;Многоквартирный дом;;7;;;;
2015;Нет;Исправный;68;;C;;;3;1;;1068895;;;На счете регионального оператора;;Нет;;;;;;;
2019;Нет;Исправный;68;;;;;;;;1152972;;;;;Нет;Многоквартирный дом;;4;;;;
2019;Нет;Исправный;70;;;;;;;;1152973;;;;;Нет;Многоквартирный дом;;2;;;;
2020;Нет;Исправный;70;;;;;;;;1152974;;;;;Нет;Многоквартирный дом;;5;18.11.2021;;;
2021;Нет;Исправный;;;;;;;;;1331101;;;;;;Многоквартирный дом;;;;;;
2015;Нет;Исправный;36;36;B;2;;4;4;1;813065;;;На счете регионального оператора;;;;;;;;;
2015;Нет;Исправный;36;36;B;2;;4;1;1;813102;;;На счете регионального оператора;;;;;;;;;
2017;Нет;Исправный;40;;;2;;;;1;1152975;5;;;;Нет;Многоквартирный дом;;;;;;
2018;Нет;Исправный;36;;;2;;;;1;1152976;;;;;Нет;Многоквартирный дом;;3;;;;
1984;Нет;Исправный;18;;D;3;;3;2;;942572;;;На счете регионального оператора;0;Нет;;;;;;;
1988;Нет;Исправный;18;;D;3;;2;2;;820637;;;На счете регионального оператора;0;Нет;;;;;;;
2007;Нет;Исправный;18;;D;3;;2;2;1;943625;;;На счете регионального оператора;;;;;;;;;
2016;Нет;Исправный;398;;B;4;4;11;1;1;804880;2;;;;;;418;;;;;
2014;Нет;Исправный;388;;А (Очень высокий);4;4;;;1;432364;2;;;;;;390;;;;;
2014;Нет;Исправный;299;280;А (Очень высокий);6;6;10;1;;432365;1;;;;;;20;;;;;
2018;Нет;Исправный;149;;;3;3;;;1;1136477;1;;;;Нет;Многоквартирный дом;;;;;;
2014;Нет;Исправный;239;;А (Очень высокий);2;2;10;1;1;432366;1;;;;;;240;;;;;
2013;Нет;Исправный;280;;А (Очень высокий);3;3;;;1;432367;;;;;Нет;Многоквартирный дом;280;;;;;
2013;Нет;Исправный;480;;А (Очень высокий);4;4;;;;432368;;;;;Нет;;480;;;;;
2015;Нет;Исправный;102;61;А (Очень высокий);3;3;;;1;432369;3;;;;Нет;;39;;;;;
2013;Нет;Исправный;298;279;А (Очень высокий);6;6;10;1;;432370;2;;;;;;20;;;;;
2013;Нет;Исправный;149;150;А (Очень высокий);3;3;10;1;;432371;1;;Не определен;0;;;;;;;;
2008;Нет;Исправный;144;;;5;5;;;1;423537;10;;;;;;152;;;;;
2008;Нет;Исправный;90;;Не присвоен;3;3;10;10;1;423538;;;;;;;130;;;;;
2011;Нет;Исправный;150;30;А (Очень высокий);3;3;;;1;1136478;;;;;;;19;;;;;
2010;Нет;Исправный;387;40;А (Очень высокий);9;9;;;1;159088;2;;;;Нет;;38;;;;;
2011;Нет;Исправный;150;131;А (Очень высокий);3;3;10;1;1;432372;;;;;;;19;;;;;
2011;Нет;Исправный;243;247;A;7;7;10;10;1;160365;10;;На счете регионального оператора;;;;;;;;;
2009;Нет;Исправный;276;;А (Очень высокий);7;7;;;1;159089;4;;;;Нет;;300;;;;;
2010;Нет;Исправный;268;;А (Очень высокий);7;7;;;1;159090;6;;;;;;300;;;;;
1998;Нет;Исправный;172;86;C;5;5;9;;;488393;4;;;;;;86;;;;;
1998;Нет;Исправный;32;16;C;1;1;9;;;488394;4;;;;;;16;;;;;
1999;Нет;Исправный;175;81;C;5;5;9;;;488395;1;;;;;;95;;;;;
2002;Нет;Исправный;172;172;;5;5;;;1;540449;1;;;;;;;;;;;
1997;Нет;Исправный;168;152;А (Очень высокий);5;5;9;9;1;252497;3;;На счете регионального оператора;;;;;;;;;
2020;Нет;Исправный;75;65;;4;;;;1;1136479;;;;;Да;Многоквартирный дом;6;;;;;
2000;Нет;Исправный;60;56;Не присвоен;4;;6;6;1;159251;;;;;;;4;;;;;
2000;Нет;Исправный;108;;Не присвоен;3;3;9;9;;488392;;;;;;;108;;;;;
2022;Нет;Исправный;21;12;;1;;;;1;1309350;;;;;Да;Многоквартирный дом;9;;;;;
2021;Нет;Исправный;75;;;4;;;;1;1311465;;;;;Да;Многоквартирный дом;;0;;;;
1979;Нет;Исправный;124;120;Не присвоен;5;5;9;9;;334762;6;;;;;;110;;;;;
1972;Нет;Исправный;170;167;Не присвоен;1;1;9;9;1;334763;;;;;;;;;;;;
1979;Нет;Исправный;119;117;Не присвоен;5;5;7;7;;334764;3;;;;;;117;;;;;
1971;Нет;Исправный;170;167;Не присвоен;1;1;9;9;1;334765;1;;На счете регионального оператора;;;;;;;;;
1981;Нет;Исправный;81;76;Не присвоен;4;4;6;6;;334766;4;;;;;;77;;;;;
1972;Нет;Исправный;160;167;Не присвоен;1;1;9;9;1;334767;4;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;36;48;Не присвоен;3;;4;4;1;334768;10;;;;;;;;;;;
1961;Нет;Исправный;42;36;Не присвоен;3;;4;4;1;334769;7;;;;;;;;;;;
1961;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334770;2;;;;;;;;;;;
1961;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334771;2;;;;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;1;334773;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;;334772;;;На счете регионального оператора;;;;;;;;;
1961;Нет;Исправный;78;64;Не присвоен;4;;5;5;1;334774;1;;;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334775;3;;;;;;;;;;;
1961;Нет;Исправный;48;48;Не присвоен;3;;4;4;1;334777;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;47;40;Не присвоен;3;;4;4;1;334776;1;;;;;;;;;;;
1961;Нет;Исправный;44;36;Не присвоен;3;;4;4;1;334778;5;;;;;;;;;;;
1962;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334779;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;1;334780;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;;334781;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334783;1;;;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334782;6;;;;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;;334784;1;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334785;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;42;48;Не присвоен;3;;4;4;1;334786;2;;;;;;;;;;;
1961;Нет;Исправный;45;36;Не присвоен;3;;4;4;1;334787;3;;;;;;;;;;;
1962;Нет;Исправный;38;28;Не присвоен;2;;5;5;1;334788;1;;;;;;;;;;;
1962;Нет;Исправный;38;32;Не присвоен;3;;4;4;1;334789;1;;;;;;;;;;;
1962;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334790;1;;;;;;;;;;;
1962;Нет;Исправный;38;28;Не присвоен;2;;5;5;1;334791;3;;;;;;;;;;;
1962;Нет;Исправный;34;32;Не присвоен;2;;5;5;1;334792;1;;;;;;;;;;;
1962;Нет;Исправный;80;62;Не присвоен;4;;5;5;1;334793;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;40;32;Не присвоен;2;;5;5;1;334794;1;;;;;;;;;;;
1962;Нет;Исправный;48;40;Не присвоен;3;;5;5;1;334795;1;;;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334796;2;;;;;;;;;;;
1962;Нет;Исправный;48;48;Не присвоен;3;;5;5;1;334797;3;;;;;;;;;;;
1962;Нет;Исправный;40;38;Не присвоен;2;;5;5;1;334798;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;39;32;Не присвоен;2;;5;5;1;334799;1;;;;;;;;;;;
1962;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334800;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334801;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;40;32;Не присвоен;2;;5;5;1;334802;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;36;32;Не присвоен;3;;4;4;1;334803;1;;;;;;;;;;;
1967;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334804;;;На счете регионального оператора;0;;;;;;;;
1986;Нет;Исправный;120;104;Не присвоен;2;;5;5;1;334805;;;На счете регионального оператора;0;;;;;;;;
1993;Нет;Исправный;40;32;Не присвоен;2;;5;5;1;334806;;;;;;;20;;;;;
1992;Нет;Исправный;100;50;Не присвоен;5;;5;5;1;334807;1;;На счете регионального оператора;;;;50;;;;;
1990;Нет;Исправный;82;33;Не присвоен;3;2;9;5;;334808;1;;;;;;51;;;;;
1969;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334809;;;На счете регионального оператора;0;;;;;;;;
1990;Нет;Исправный;72;42;Не присвоен;3;;6;6;1;334810;;;;;;;42;;;;;
1991;Нет;Исправный;82;33;Не присвоен;3;2;9;5;;334811;2;;;;;;51;;;;;
2008;Нет;Исправный;48;72;A;3;;6;1;1;432374;5;;На специальном счете организации;0;;;;;;;;
1972;Нет;Исправный;70;52;Не присвоен;4;;5;5;1;334812;1;;;;;;;;;;;
1992;Нет;Исправный;40;40;Не присвоен;2;;5;5;;334813;;;На счете регионального оператора;;;;;;;;;
1975;Нет;Исправный;69;56;Не присвоен;4;;5;5;1;334814;4;;;;;;;;;;;
1973;Нет;Исправный;68;56;Не присвоен;4;;5;5;1;334815;2;;;;;;;;;;;
1962;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;334816;1;;;;;;;;;;;
1961;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;334817;1;;;;;;;;;;;
1972;Нет;Исправный;120;104;Не присвоен;2;;5;5;1;334818;;;На счете регионального оператора;0;;;;;;;;
1970;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334819;1;;;;;;;;;;;
1969;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334820;1;;;;;;;;;;;
1964;Нет;Исправный;64;48;Не присвоен;4;;4;4;1;334821;;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;36;32;Не присвоен;3;;4;4;1;334822;5;;;;;;;;;;;
1961;Нет;Исправный;10;;;1;;2;;1;936801;;;;;Нет;Многоквартирный дом;;39;;;;
1961;Нет;Исправный;12;;;2;;2;;1;863638;;;;;Нет;Многоквартирный дом;;;;;;
1971;Нет;Исправный;60;4;Не присвоен;1;;5;5;1;334823;1;;;;;;;;;;;
1984;Нет;Исправный;60;52;Не присвоен;1;;5;5;;334824;;;На счете регионального оператора;;;;;;;;;
1984;Нет;Исправный;60;52;Не присвоен;1;;5;5;1;334825;;;На счете регионального оператора;0;;;;;;;;
1983;Нет;Исправный;68;56;Не присвоен;4;;5;5;1;334826;6;;;;;;;;;;;
1972;Нет;Исправный;120;80;Не присвоен;3;;5;5;1;334827;;;На счете регионального оператора;0;;;;;;;;
1972;Нет;Исправный;120;80;Не присвоен;3;;5;5;1;334828;;;На счете регионального оператора;0;;;;;;;;
1979;Нет;Исправный;99;80;Не присвоен;6;;5;5;1;386812;;;На специальном счете организации;130;;;;;;;;
1971;Нет;Исправный;114;122;Не присвоен;8;;5;5;;334830;;;На счете регионального оператора;;;;;;;;;
1973;Нет;Исправный;119;96;Не присвоен;8;;5;5;1;334831;;;На счете регионального оператора;0;;;;;;;;
1974;Нет;Исправный;68;56;Не присвоен;4;;5;5;1;334832;2;;;;;;;;;;;
1961;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;334833;2;;;;;;;;;;;
1961;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334834;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334835;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;32;24;Не присвоен;2;;5;5;1;334837;2;;;;;;;;;;;
1961;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334838;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334839;;;На счете регионального оператора;0;;;;;;;;
1981;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334829;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334836;;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;29;18;;2;;;;1;313410;1;;;;Нет;;;;;;;
1958;Нет;Исправный;40;31;Не присвоен;4;;5;5;1;313411;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;60;40;Не присвоен;3;;5;5;1;313412;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;40;30;;4;;;;1;313413;;;;;Нет;Многоквартирный дом;;28;;;;
1959;Нет;Исправный;39;32;Не присвоен;2;;5;5;1;313414;1;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;27;20;;2;;;;1;820640;1;;;;Нет;;;;;;;
1960;Нет;Исправный;38;32;;2;;;;1;313416;1;;;;Нет;;;;;;;
1960;Нет;Исправный;59;44;Не присвоен;3;;5;5;1;313417;1;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;313418;;;На счете регионального оператора;;;;;;;;;
1956;Нет;Исправный;65;35;С (Нормальный);3;1;7;5;;363521;5;07.12.2011;;;;;;;;;;
1954;Нет;Исправный;54;40;Не присвоен;4;;4;4;1;363524;5;;;;;;;;;;;
1955;Нет;Исправный;80;70;Не присвоен;6;;4;4;1;363522;4;;;;;;;;;;;
1954;Нет;Исправный;53;41;Не присвоен;4;;4;4;1;363523;6;;;;;;;;;;;
1951;Нет;Исправный;24;16;Не присвоен;2;2;3;3;1;363526;;;;;;;;;;;;
1951;Нет;Исправный;33;20;Не присвоен;3;;4;4;1;363525;4;;;;;;;;;;;
1954;Нет;Исправный;53;40;Не присвоен;4;;4;4;1;363527;5;;;;;;;;;;;
1952;Нет;Исправный;24;10;Не присвоен;3;;3;3;1;923765;2;;;;;;;;;;;
1954;Нет;Исправный;52;40;Не присвоен;4;;4;4;1;363529;4;;;;;;;;;;;
1952;Нет;Исправный;42;20;Не присвоен;4;;4;4;1;363530;1;;;;;;;;;;;
1952;Нет;Исправный;22;11;Не присвоен;3;;3;3;1;820641;3;;;;;;;;;;;
1954;Нет;Исправный;40;24;Не присвоен;3;;4;4;1;363532;3;;;;;;;;;;;
1952;Нет;Исправный;51;36;Не присвоен;4;;4;4;1;363534;5;;;;;;;;;;;
1955;Нет;Исправный;91;74;Не присвоен;6;;5;5;1;363535;10;;;;;;;;;;;
1952;Нет;Исправный;31;44;Не присвоен;3;;5;4;1;363536;7;;;;;;;;;;;
1955;Нет;Исправный;40;29;Не присвоен;3;;4;4;1;363537;2;;;;;;;;;;;
1955;Нет;Исправный;39;29;Не присвоен;3;;4;4;1;363538;3;;;;;;;;;;;
1954;Нет;Исправный;56;40;Не присвоен;4;;4;4;;363533;2;;На счете регионального оператора;0;;;;;;;;
1961;Да;Аварийный;5;;Не присвоен;6;;1;1;;395511;;;На счете регионального оператора;0;Нет;Многоквартирный дом;;;;;;
1961;Да;Аварийный;;;Не присвоен;6;;1;1;;540608;;;;;;Многоквартирный дом;;72.9;;;;
1983;Нет;Исправный;3;;Не присвоен;3;;1;1;;395512;;;На счете регионального оператора;0;;;;;;;;
1968;Нет;Исправный;16;;Не присвоен;2;;2;2;1;395513;;;;;;;;;;;;
1990;Нет;Исправный;64;21;Не присвоен;2;2;9;9;;486542;1;;;;;;42;;;;;
1991;Нет;Исправный;313;134;Не присвоен;9;9;9;9;1;486543;6;;;;;;180;;;;;
1990;Нет;Исправный;69;24;Не присвоен;2;2;9;9;1;486544;2;;;;;;45;;;;;
1990;Нет;Исправный;180;;Не присвоен;5;5;9;9;1;486545;;;Не определен;0;;;180;;;;;
1992;Нет;Исправный;307;137;Не присвоен;9;9;9;9;;486546;12;;;;;;171;;;;;
1989;Нет;Исправный;108;36;А (Очень высокий);3;3;9;9;1;252498;;;;;;;;;;;;
1990;Нет;Исправный;216;216;;4;4;;;;486547;;;;;Нет;;;;;;;
1992;Нет;Исправный;170;78;А (Очень высокий);5;5;9;9;;252499;7;;;;;;94;;;;;
1991;Нет;Исправный;180;;Не присвоен;5;5;9;9;1;486548;;;На счете регионального оператора;0;;;180;;;;;
1991;Нет;Исправный;162;;Не присвоен;3;3;9;9;1;486549;;;;;;;162;;;;;
1991;Нет;Исправный;149;;Не присвоен;3;3;9;9;1;486550;12;;На счете регионального оператора;;;;149;;;;;
1991;Нет;Исправный;108;;Не присвоен;2;2;9;9;1;486551;;;;;;;108;;;;;
1993;Нет;Исправный;208;;А (Очень высокий);6;6;9;9;;252500;;;На счете регионального оператора;;;;;;;;;
1965;Нет;Исправный;60;48;Не присвоен;4;;5;5;1;313419;;;На счете регионального оператора;;;;;;;;;
1963;Нет;Исправный;60;42;Не присвоен;3;;5;5;1;313420;2;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;73;64;Не присвоен;4;;5;5;1;313421;7;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;313422;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;48;48;Не присвоен;3;;4;4;1;313423;1;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;81;62;Не присвоен;4;;5;5;1;313424;1;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;57;48;Не присвоен;3;;5;5;1;313425;4;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;79;62;Не присвоен;4;;5;5;1;313426;3;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;64;48;Не присвоен;4;;4;4;1;313427;2;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;40;32;;2;;;;1;313429;;;;;Нет;Многоквартирный дом;;32;;;;
1963;Нет;Исправный;64;56;Не присвоен;4;;5;5;;313428;2;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;52;16;Не присвоен;6;;3;3;1;313430;5;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;313431;4;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;40;26;Не присвоен;2;;5;5;1;313432;1;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;24;16;;2;;;;1;753721;4;;;;Нет;;;;;;;
1955;Нет;Исправный;76;32;Не присвоен;6;;4;4;1;313433;4;;На счете регионального оператора;90;;;;;;;;
1953;Нет;Исправный;77;26;Не присвоен;6;;4;4;1;313434;3;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;59;;Не присвоен;3;;5;5;1;313435;2;;На счете регионального оператора;;;;;;;;;
1956;Нет;Исправный;39;13;;4;;;;1;1298923;1;;;;Нет;;;;;;;
1953;Нет;Исправный;71;;;6;;4;4;1;313437;8;;На счете регионального оператора;0;Нет;;;;;;;
1961;Нет;Исправный;32;24;Не присвоен;2;;5;5;1;313438;1;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;30;18;;2;;5;5;1;826473;;;На счете регионального оператора;444.60;Нет;;;;;;;
1952;Нет;Исправный;3;14;Не присвоен;2;;3;;1;917835;;;;;Нет;Многоквартирный дом;;;;;;
1958;Нет;Исправный;35;44;;4;4;5;5;1;313439;4;;На счете регионального оператора;432.60;;;;;;;;
1952;Нет;Исправный;24;8;Не присвоен;2;;3;3;;917837;;;На счете регионального оператора;0;Нет;;;;;;;
1962;Нет;Исправный;36;25;Не присвоен;3;;4;4;1;313440;1;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;53;40;Не присвоен;3;;5;5;1;313441;6;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;23;18;Не присвоен;2;;3;3;;917849;2;;На счете регионального оператора;;;;;;;;;
1952;Нет;Исправный;25;20;Не присвоен;2;;4;3;;917851;2;;На счете регионального оператора;;;;;;;;;
1952;Нет;Исправный;1;14;Не присвоен;1;;4;4;1;917852;1;;На счете регионального оператора;0;;;;;;;;
1953;Нет;Исправный;25;20;Не присвоен;2;;4;3;;917853;2;;На счете регионального оператора;;;;;;;;;
1954;Нет;Исправный;55;46;Не присвоен;4;;5;5;1;313443;6;;На счете регионального оператора;0;;;;;;;;
1953;Нет;Исправный;30;26;Не присвоен;2;;4;4;1;313444;1;;На счете регионального оператора;0;;;;;;;;
1953;Нет;Исправный;29;26;Не присвоен;2;;4;4;1;313445;3;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;32;33;Не присвоен;3;;4;4;1;313446;7;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;92;43;Не присвоен;6;;5;4;1;363539;7;;;;;;;;;;;
1952;Нет;Исправный;29;59;Не присвоен;4;;3;3;1;923950;5;;;;;;;;;;;
1966;Нет;Исправный;56;96;;4;;;;1;546224;5;;;;Нет;;;;;;;
1953;Нет;Исправный;12;;Не присвоен;2;;4;4;;923994;1;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;34;30;Не присвоен;4;;3;3;1;363543;5;;;;;;;;;;;
1955;Нет;Исправный;50;29;Не присвоен;4;;4;4;1;363544;8;;;;;;;;;;;
1955;Нет;Исправный;40;27;Не присвоен;3;;4;4;1;363545;7;;;;;;;;;;;
1959;Нет;Исправный;40;32;Не присвоен;2;;5;5;1;363546;;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;27;22;Не присвоен;2;;5;5;1;924520;;;На счете регионального оператора;0;;;;;;;;
;Нет;Исправный;;;Не присвоен;4;;5;;1;540501;;;;;;Многоквартирный дом;;;;;;
1959;Нет;Исправный;44;36;Не присвоен;3;;4;4;1;363548;7;;;;;;;;;;;
1958;Нет;Исправный;58;67;Не присвоен;4;;5;5;;363549;1;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;35;32;Не присвоен;2;;5;5;;363550;4;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;32;30;Не присвоен;4;;5;5;1;363551;6;;;;;;;;;;;
1959;Нет;Исправный;39;36;Не присвоен;3;;4;4;1;363552;5;;;;;;;;;;;
1958;Нет;Исправный;37;;Не присвоен;4;;5;5;;363554;2;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;32;30;Не присвоен;4;;5;5;1;363553;6;;;;;;;;;;;
1963;Нет;Исправный;30;32;Не присвоен;2;2;5;5;;924522;5;;;;;;;;;;;
1958;Нет;Исправный;97;70;Не присвоен;8;;5;5;1;363557;1;;;;;;;;;;;
1958;Нет;Исправный;57;49;Не присвоен;6;;5;5;1;363556;9;;;;;;;;;;;
1963;Нет;Исправный;128;70;Не присвоен;3;;5;5;1;363558;7;;;;;;;;;;;
1963;Нет;Исправный;82;84;Не присвоен;6;;5;5;1;363559;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;32;32;Не присвоен;2;;5;5;1;363560;3;;;;;;;;;;;
1958;Нет;Исправный;38;27;Не присвоен;4;;5;5;1;363563;2;;;;;;;;;;;
1958;Нет;Исправный;40;30;Не присвоен;4;;5;5;1;363562;;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;25;22;Не присвоен;2;;5;5;1;363561;4;;;;;;;;;;;
1963;Нет;Исправный;130;;Не присвоен;3;;5;5;1;363564;10;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;48;44;Не присвоен;3;;5;5;1;363565;1;;;;;;;;;;;
1958;Нет;Исправный;59;48;Не присвоен;4;;5;5;1;363567;;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;24;22;Не присвоен;2;;5;5;1;363566;3;;;;;;;;;;;
1959;Нет;Исправный;40;30;Не присвоен;4;;5;5;1;363568;;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;363569;;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;39;30;Не присвоен;4;;5;5;1;363571;1;;;;;;;;;;;
1961;Нет;Исправный;32;32;Не присвоен;2;;5;5;1;363570;2;;;;;;;;;;;
1959;Нет;Исправный;47;48;Не присвоен;4;;5;5;1;363572;8;;;;;;;;;;;
1961;Нет;Исправный;36;24;Не присвоен;3;;4;4;;363573;2;;На счете регионального оператора;0;;;;;;;;
1960;Нет;Исправный;59;40;Не присвоен;3;;5;5;;363575;1;;На счете регионального оператора;0;;;;;;;;
1960;Нет;Исправный;53;40;Не присвоен;3;;5;5;1;363574;5;;;;;;;;;;;
1959;Нет;Исправный;52;48;Не присвоен;3;;5;5;1;363576;5;;;;;;;;;;;
1971;Нет;Исправный;156;167;Не присвоен;1;1;5;5;1;820657;6;;;;;;;;;;;
1960;Нет;Исправный;76;56;Не присвоен;4;;5;5;1;363579;1;;;;;;;;;;;
1960;Нет;Исправный;80;35;Не присвоен;4;;5;5;1;363578;3;;;;;;;;;;;
1960;Нет;Исправный;66;44;Не присвоен;4;;5;5;1;363577;6;;;;;;;;;;;
1960;Нет;Исправный;76;56;Не присвоен;4;;5;5;;334842;;;На счете регионального оператора;;;;;;;;;
1961;Нет;Исправный;66;56;Не присвоен;4;;5;5;1;334841;7;;;;;;;;;;;
1981;Нет;Исправный;56;27;Не присвоен;3;3;6;6;;334843;5;;;;;;30;;;;;
1960;Нет;Исправный;46;40;Не присвоен;3;;4;4;1;334844;2;;;;;;;;;;;
1974;Нет;Исправный;60;48;Не присвоен;4;;5;5;1;334846;;;На счете регионального оператора;0;;;;;;;;
1972;Нет;Исправный;96;32;Не присвоен;2;2;9;9;;334845;2;;;;;;48;;;;;
1961;Нет;Исправный;69;64;Не присвоен;4;;5;5;1;334847;8;;;;;;;;;;;
1960;Нет;Исправный;76;56;Не присвоен;4;;5;5;;334848;;;На счете регионального оператора;;;;;;;;;
1973;Нет;Исправный;54;48;Не присвоен;4;;5;5;1;334850;2;;;;;;;;;;;
1970;Нет;Исправный;56;56;Не присвоен;4;;5;5;1;334849;10;;;;;;;;;;;
1960;Нет;Исправный;46;40;Не присвоен;3;;4;4;1;334851;1;;;;;;;;;;;
1970;Нет;Исправный;119;96;Не присвоен;8;;5;5;1;334852;1;;;;;;;;;;;
