Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1984;Нет;Исправный;198;179;;6;6;;;1;1106848;;;;;Нет;Многоквартирный дом;18;;;;;
1972;Нет;Исправный;60;36;Не присвоен;4;;5;5;1;334702;1;;;;;;;;;;;
1982;Нет;Исправный;70;38;;4;;;;1;540842;;;;;Нет;Многоквартирный дом;;24;;;;
1972;Нет;Исправный;90;80;Не присвоен;6;;5;5;1;334703;3;;;;;;;;;;;
1972;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;334704;;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;8;;;1;;;;;1266637;;;;;;Многоквартирный дом;;;;;;
1996;Нет;Исправный;27;;E;3;;3;3;1;942878;;;На счете регионального оператора;;;;;;;;;
1994;Нет;Исправный;27;;D;3;;3;1;1;942880;;;На счете регионального оператора;;;;;;;;;
1996;Нет;Исправный;12;;E;2;;3;3;;942879;;;На счете регионального оператора;0;Нет;;;;;;;
1997;Нет;Исправный;27;;E;3;;3;3;1;942881;;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;10;;Не присвоен;1;;2;2;;395491;;;На счете регионального оператора;0;Нет;;5;;;;;
1957;Нет;Исправный;8;4;Не присвоен;1;;2;2;1;395492;;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;10;4;Не присвоен;1;;2;2;1;395493;;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;8;;Не присвоен;1;;2;2;1;395494;;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395495;;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;10;;Не присвоен;1;;2;2;;395496;;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;8;;Не присвоен;1;;2;2;;395497;;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;8;;Не присвоен;1;;2;2;;395498;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;12;;Не присвоен;2;;2;2;;395499;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395500;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395501;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;12;;Не присвоен;2;;2;2;;395502;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;8;;Не присвоен;1;;2;2;;395503;;;На счете регионального оператора;;;;;;;;;
1974;Нет;Исправный;21;8;С (Нормальный);1;;5;5;1;537856;;;На счете регионального оператора;0;;;;;;;;
1973;Нет;Исправный;60;48;С (Нормальный);4;;;;;537858;;;;;;Многоквартирный дом;;;;;;
1975;Нет;Исправный;60;143;С (Нормальный);4;;5;5;1;537857;;;;0;Нет;;;;;;;
1975;Нет;Исправный;60;48;С (Нормальный);4;;5;5;1;537859;;;На счете регионального оператора;;;;;;;;;
1996;Нет;Исправный;100;81;С (Нормальный);6;;5;5;1;537860;;;На счете регионального оператора;;;;;;;;;
1969;Нет;Исправный;24;20;Не присвоен;3;;3;3;;537861;;;На счете регионального оператора;0;Нет;;;;;;;
1960;Нет;Исправный;14;13;Не присвоен;2;;3;3;1;537862;;;На счете регионального оператора;;;;;;;;;
1985;Нет;Исправный;89;65;С (Нормальный);6;;5;5;1;537863;;;На счете регионального оператора;;;;;;;;;
1957;Нет;Исправный;12;6;Не присвоен;2;;2;2;1;1315951;;;На счете регионального оператора;0;;;;;;;;
1986;Нет;Исправный;89;65;С (Нормальный);6;;5;5;1;537865;1;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;16;8;Не присвоен;2;;2;2;;537866;;;На счете регионального оператора;;;;;;;;;
1957;Нет;Исправный;16;;Не присвоен;2;;2;2;;537867;;;На счете регионального оператора;0;Нет;;;;;;;
1960;Нет;Исправный;16;8;Не присвоен;2;;2;2;1;537868;;;На счете регионального оператора;;;;;;;;;
1954;Нет;Исправный;8;;Не присвоен;2;;2;2;;537869;;;На счете регионального оператора;0;;;;;;;;
1954;Да;Аварийный;8;;Не присвоен;2;;2;2;;537870;;;На счете регионального оператора;0;Нет;;;;;;;
1993;Нет;Исправный;;24;С (Нормальный);4;;5;5;1;537871;;;На счете регионального оператора;0;;;;;;;;
1953;Нет;Исправный;16;7;Не присвоен;3;;2;;1;857491;;;;;Нет;Многоквартирный дом;;;;;;
1954;Нет;Исправный;16;7;Не присвоен;3;;2;;1;826405;1;;;;;Многоквартирный дом;;;;;;
1954;Нет;Исправный;16;;Не присвоен;3;;3;;1;826404;2;;;;Нет;Многоквартирный дом;;;;;;
1988;Нет;Исправный;57;48;Не присвоен;4;;5;5;1;313376;1;;На счете регионального оператора;0;;;;;;;;
1988;Нет;Исправный;56;48;Не присвоен;4;;5;5;1;313377;2;;На счете регионального оператора;0;;;;;;;;
1989;Нет;Исправный;57;181;Не присвоен;4;;5;5;1;313378;1;;На счете регионального оператора;0;;;;;;;;
1980;Нет;Исправный;29;14;A;1;1;9;9;1;546219;2;;На счете регионального оператора;;;;;;;;;
1980;Нет;Исправный;20;;A;1;1;9;9;;546220;3;;;;;;;;;;;
1958;Нет;Исправный;;;Не присвоен;2;;2;2;1;395504;;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;2;;Не присвоен;2;;1;1;;540598;;;На счете регионального оператора;;;;;;;;;
;Нет;Исправный;4;;Не присвоен;4;;1;1;;540599;;;;;;Многоквартирный дом;;;;;;
1961;Нет;Исправный;4;;Не присвоен;4;;1;1;;540600;;;;;Нет;Многоквартирный дом;;;;;;
1953;Нет;Исправный;15;7;Не присвоен;3;;2;;1;850781;1;;;;;;;;;;;
1953;Нет;Исправный;16;7;Не присвоен;3;;2;;1;918026;;;;;Нет;Многоквартирный дом;;;;;;
1953;Нет;Исправный;16;7;Не присвоен;3;;2;;1;850784;;;;;Нет;Многоквартирный дом;;;;;;
1982;Нет;Исправный;68;44;Не присвоен;4;;5;5;;540843;;;На специальном счете организации;;;;;;;;;
1982;Нет;Исправный;68;24;B;4;;5;1;1;475467;;;На специальном счете у регионального оператора;0;;;34;;;;;
1980;Нет;Исправный;160;168;;1;1;;;1;1147917;4;;;;Да;Многоквартирный дом;;;;;;
1979;Нет;Исправный;171;171;B;1;1;9;1;;475469;;;На специальном счете у регионального оператора;;Нет;;;;;;;
1979;Нет;Исправный;171;152;B;1;1;9;1;1;475470;;;На специальном счете у регионального оператора;0;;;;;;;;
1980;Нет;Исправный;120;56;;6;;;;1;1106846;;;;;Нет;;;;;;;
1980;Нет;Исправный;70;54;;4;;;;;731646;1;;;;Нет;Многоквартирный дом;;;;;;
1975;Нет;Исправный;55;48;Не присвоен;4;;5;5;1;420746;2;;;;;;;;;;;
1975;Нет;Исправный;57;48;Не присвоен;4;;5;5;1;420747;1;;;;;;;;;;;
1979;Нет;Исправный;251;158;Не присвоен;8;8;9;9;;420748;1;;;;;;94;;;;;
