№;Город;Площадь м2;Год;Этажей;Адрес;Ссылка;result;postal_code;city_district;street_type_full;street;house_fias_id;house_kladr_id;house_cadnum;house_type_full;house;block_type_full;block;geo_lat;geo_lon
1;Магнитогорск;1595.2;2006;10;ул. 50-летия Магнитки, 29 корпус 1;/chelyabinskaya-oblast/magnitogorsk/160355;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 29 к 1;455008;Орджоникидзевский;улица;50-летия Магнитки;35ccd00c-b104-40e7-9e51-bb3e9bd70d58;7400000900000030008;74:33:0311001:284;дом;29;корпус;1;53.3577015;58.9754144
2;Магнитогорск;15743.6;2006;9;ул. 50-летия Магнитки, 31;/chelyabinskaya-oblast/magnitogorsk/396513;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 31;455008;Орджоникидзевский;улица;50-летия Магнитки;f69f4cc6-5e8b-4a4d-8ade-9aa01714f0f6;7400000900000030006;74:33:0311002:61;дом;31;;;53.358437;58.9739283
3;Магнитогорск;10393.1;1988;9;ул. 50-летия Магнитки, 32;/chelyabinskaya-oblast/magnitogorsk/633123;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 32;455051;Орджоникидзевский;улица;50-летия Магнитки;b452e68f-99d9-43a4-88ef-7721c82e43f7;7400000900000030034;;дом;32;;;53.3596953;58.9761334
4;Магнитогорск;4587;2006;9;ул. 50-летия Магнитки, 33 корпус 1;/chelyabinskaya-oblast/magnitogorsk/396514;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 33 к 1;455008;Орджоникидзевский;улица;50-летия Магнитки;8bb93b23-7f10-43a3-b2bf-389ac039b580;7400000900000030010;;дом;33;корпус;1;53.3578484;58.972427
5;Магнитогорск;9187.62;2003;9;ул. 50-летия Магнитки, 33;/chelyabinskaya-oblast/magnitogorsk/536059;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 33;455008;Орджоникидзевский;улица;50-летия Магнитки;72af7653-8149-4e91-a640-f547aabd7503;7400000900000030009;;дом;33;;;53.3579553;58.9724857
6;Магнитогорск;5763.8;1989;9;ул. 50-летия Магнитки, 34;/chelyabinskaya-oblast/magnitogorsk/633124;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 34;455051;Орджоникидзевский;улица;50-летия Магнитки;d401432f-d67a-48d8-938d-cddad05779c9;7400000900000030035;;дом;34;;;53.3600244;58.9746561
7;Магнитогорск;11774.4;2019;17;ул. 50-летия Магнитки, 35 корпус 1;/chelyabinskaya-oblast/magnitogorsk/1136480;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 35 к 1;455008;Орджоникидзевский;улица;50-летия Магнитки;7aae6508-8751-4602-b692-f0f3276d22f9;7400000900000030160;74:33:0311002:2472;дом;35;корпус;1;53.358513;58.971272
8;Магнитогорск;12487.8;2015;10;ул. 50-летия Магнитки, 35;/chelyabinskaya-oblast/magnitogorsk/790098;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 35;455008;Орджоникидзевский;улица;50-летия Магнитки;a3ac8ae2-ba4b-4d16-9f52-7f809fbc4aef;7400000900000030119;;дом;35;;;53.358513;58.971272
9;Магнитогорск;3985.5;1988;9;ул. 50-летия Магнитки, 36;/chelyabinskaya-oblast/magnitogorsk/256896;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 36;455051;Орджоникидзевский;улица;50-летия Магнитки;005a290f-09fa-49e4-92d0-35df1ece82f6;7400000900000030036;;дом;36;;;53.359953;58.9737909
10;Магнитогорск;5731.5;1997;16;ул. 50-летия Магнитки, 37;/chelyabinskaya-oblast/magnitogorsk/396515;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 37;455034;Орджоникидзевский;улица;50-летия Магнитки;cb142641-1853-4182-a21e-b41197f69c51;7400000900000030011;74:33:0311001:10214;дом;37;;;53.3578907;58.9694105
11;Магнитогорск;5790.8;1988;9;ул. 50-летия Магнитки, 38;/chelyabinskaya-oblast/magnitogorsk/633125;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 38;455051;Орджоникидзевский;улица;50-летия Магнитки;1979657d-73aa-49ec-9b16-60a3be3d2a39;7400000900000030037;;дом;38;;;53.360103;58.9728844
12;Магнитогорск;5705.8;1994;16;ул. 50-летия Магнитки, 39;/chelyabinskaya-oblast/magnitogorsk/396516;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 39;455034;Орджоникидзевский;улица;50-летия Магнитки;ca91fe33-3b8f-4ede-9b79-79bfa7676a3e;7400000900000030013;;дом;39;;;53.3578113;58.9681267
13;Магнитогорск;7750.6;1991;8;ул. 50-летия Магнитки, 40 корпус 1;/chelyabinskaya-oblast/magnitogorsk/893452;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 40 к 1;455051;Орджоникидзевский;улица;50-летия Магнитки;b48a1d3f-8132-4572-9acb-8a2e4dc76a73;7400000900000030039;;дом;40;корпус;1;53.35962;58.9713926
14;Магнитогорск;249.5;1986;9;ул. 50-летия Магнитки, 40;/chelyabinskaya-oblast/magnitogorsk/633126;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 40;455051;Орджоникидзевский;улица;50-летия Магнитки;5ca9a7cb-24ab-4994-ad86-a91941a22905;7400000900000030038;;дом;40;;;53.3596957;58.9711982
15;Магнитогорск;7764.9;1994;16;ул. 50-летия Магнитки, 41;/chelyabinskaya-oblast/magnitogorsk/160370;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 41;455034;Орджоникидзевский;улица;50-летия Магнитки;2cc9e050-fdee-4ccb-a52c-f6152572575d;7400000900000030014;;дом;41;;;53.3579033;58.966963
16;Магнитогорск;12338.8;1985;9;ул. 50-летия Магнитки, 42;/chelyabinskaya-oblast/magnitogorsk/396517;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 42;455051;Орджоникидзевский;улица;50-летия Магнитки;caa21e52-dc9d-48e2-9a29-6b3fcc112a84;7400000900000030040;;дом;42;;;53.3596949;58.9684797
17;Магнитогорск;7157.1;1989;9;ул. 50-летия Магнитки, 44;/chelyabinskaya-oblast/magnitogorsk/396518;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 44;455051;Орджоникидзевский;улица;50-летия Магнитки;a4679494-e656-4b66-9f74-dac63c50c63e;7400000900000030041;;дом;44;;;53.359953;58.9669523
18;Магнитогорск;3974.2;1999;10;ул. 50-летия Магнитки, 45;/chelyabinskaya-oblast/magnitogorsk/159250;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 45;455034;Орджоникидзевский;улица;50-летия Магнитки;714b7f09-78ff-4b3a-be8a-fa3505ebc5d9;7400000900000030015;;дом;45;;;53.3582814;58.9663821
19;Магнитогорск;4013.3;1984;9;ул. 50-летия Магнитки, 46;/chelyabinskaya-oblast/magnitogorsk/396519;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 46;455051;Орджоникидзевский;улица;50-летия Магнитки;d465239f-0824-422e-8022-b31b2c1b0079;7400000900000030042;;дом;46;;;53.3598987;58.9660665
20;Магнитогорск;5106.3;1995;6;ул. 50-летия Магнитки, 47 корпус 1;/chelyabinskaya-oblast/magnitogorsk/160372;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 47 к 1;455034;Орджоникидзевский;улица;50-летия Магнитки;3aa6b780-ac30-4463-a408-8ff1ccec2f64;7400000900000030017;;дом;47;корпус;1;53.3585079;58.9640705
21;Магнитогорск;12880;1993;9;ул. 50-летия Магнитки, 47;/chelyabinskaya-oblast/magnitogorsk/160371;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 47;455034;Орджоникидзевский;улица;50-летия Магнитки;7c5fe10d-58c2-4602-9038-afa50da204f8;7400000900000030016;;дом;47;;;53.3584707;58.9640176
22;Магнитогорск;5799;1993;9;ул. 50-летия Магнитки, 48 корпус 1;/chelyabinskaya-oblast/magnitogorsk/396521;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 48 к 1;455051;Орджоникидзевский;улица;50-летия Магнитки;08ce5d9d-c8b4-4d75-9888-42799058798a;7400000900000030044;;дом;48;корпус;1;53.3599731;58.9649768
23;Магнитогорск;8279.4;1987;9;ул. 50-летия Магнитки, 48;/chelyabinskaya-oblast/magnitogorsk/396520;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 48;455051;Орджоникидзевский;улица;50-летия Магнитки;facabd2a-710d-43f3-ab97-64591d8da391;7400000900000030043;;дом;48;;;53.3600603;58.9650009
24;Магнитогорск;9220.4;1983;9;ул. 50-летия Магнитки, 50;/chelyabinskaya-oblast/magnitogorsk/633128;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 50;455047;Орджоникидзевский;улица;50-летия Магнитки;da9b3d2b-d91c-43e4-822d-af5bba104d39;7400000900000030045;;дом;50;;;53.3606285;58.9601126
25;Магнитогорск;4364.5;1991;9;ул. 50-летия Магнитки, 51;/chelyabinskaya-oblast/magnitogorsk/252486;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 51;455034;Орджоникидзевский;улица;50-летия Магнитки;4c1c2744-7836-40a2-8d78-b7bcb267981e;7400000900000030018;74:33:0311001:491;дом;51;;;53.3584104;58.9598969
26;Магнитогорск;2778.8;2005;10;ул. 50-летия Магнитки, 51А;/chelyabinskaya-oblast/magnitogorsk/160837;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 51А;455034;Орджоникидзевский;улица;50-летия Магнитки;2949a1cf-0538-43bb-9488-1a432bace329;7400000900000030019;;дом;51А;;;53.3584321;58.9594036
27;Магнитогорск;12214;1983;9;ул. 50-летия Магнитки, 52 корпус 2;/chelyabinskaya-oblast/magnitogorsk/633130;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 52 к 2;455047;Орджоникидзевский;улица;50-летия Магнитки;8001c00d-069f-496f-85d7-80401275f9fb;7400000900000030049;;дом;52;корпус;2;53.3600427;58.9585216
28;Магнитогорск;16074.6;1983;9;ул. 50-летия Магнитки, 52;/chelyabinskaya-oblast/magnitogorsk/633129;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 52;455047;Орджоникидзевский;улица;50-летия Магнитки;63e6b2cc-905b-442a-a744-683f77e4404f;7400000900000030046;;дом;52;;;53.3599426;58.9585379
29;Магнитогорск;8032.3;1991;9;ул. 50-летия Магнитки, 53;/chelyabinskaya-oblast/magnitogorsk/252487;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 53;455034;Орджоникидзевский;улица;50-летия Магнитки;a89d6859-3258-45af-9056-a3f02f80d061;7400000900000030020;;дом;53;;;53.3581114;58.9593607
30;Магнитогорск;5138.7;1989;14;ул. 50-летия Магнитки, 54;/chelyabinskaya-oblast/magnitogorsk/633131;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 54;455047;Орджоникидзевский;улица;50-летия Магнитки;ece6d91c-0fa0-445b-b0c7-0c932bc8fbd4;7400000900000030050;;дом;54;;;53.3596928;58.9567732
31;Магнитогорск;2166.8;—;9;ул. 50-летия Магнитки, 55а;/chelyabinskaya-oblast/magnitogorsk/160839;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 55А;455034;Орджоникидзевский;улица;50-летия Магнитки;8ff0082a-3ef1-4ba8-8a69-abef31d9229d;7400000900000030022;74:33:0311001:294;дом;55А;;;53.3584929;58.9579683
32;Магнитогорск;3659.7;1997;7;ул. 50-летия Магнитки, 55;/chelyabinskaya-oblast/magnitogorsk/160838;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 55;455034;Орджоникидзевский;улица;50-летия Магнитки;8c3b5c1a-2e37-4673-8c9c-ef4c8a390409;7400000900000030021;;дом;55;;;53.3583305;58.9583271
33;Магнитогорск;4309.1;1988;5;ул. 50-летия Магнитки, 56;/chelyabinskaya-oblast/magnitogorsk/540444;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 56;455047;Орджоникидзевский;улица;50-летия Магнитки;0b578599-551a-4fad-a237-5baa1b19c0e6;7400000900000030051;74:33:0307002:400;дом;56;;;53.3602774;58.9560743
34;Магнитогорск;—;—;—;ул. 50-летия Магнитки, 57;/chelyabinskaya-oblast/magnitogorsk/1032879;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 57;455034;Орджоникидзевский;улица;50-летия Магнитки;6936fcd1-3431-440c-9b45-d6fbd56cb351;7400000900000030023;;дом;57;;;53.3581028;58.9579955
35;Магнитогорск;5280;1987;14;ул. 50-летия Магнитки, 58;/chelyabinskaya-oblast/magnitogorsk/633132;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 58;455047;Орджоникидзевский;улица;50-летия Магнитки;c9ed9587-9ced-4800-a4ca-5b470c15214b;7400000900000030052;;дом;58;;;53.3596902;58.9555143
36;Магнитогорск;5383.6;1994;9;ул. 50-летия Магнитки, 59;/chelyabinskaya-oblast/magnitogorsk/252488;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 59;455034;Орджоникидзевский;улица;50-летия Магнитки;4f8bd58d-e698-4ff6-b1be-544b12060cab;7400000900000030024;;дом;59;;;53.3581388;58.9564431
37;Магнитогорск;114.9;2006;10;ул. 50-летия Магнитки, 59А;/chelyabinskaya-oblast/magnitogorsk/160840;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 59А;455034;Орджоникидзевский;улица;50-летия Магнитки;3154c8ab-7664-4854-80b6-9bff746f55dc;7400000900000030025;;дом;59А;;;53.3581006;58.9559104
38;Магнитогорск;5749.6;1994;5;ул. 50-летия Магнитки, 59 корпус 1;/chelyabinskaya-oblast/magnitogorsk/252489;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 59 к 1;455034;Орджоникидзевский;улица;50-летия Магнитки;595d7855-877b-4353-8251-a3b5ad70a6db;7400000900000030026;;дом;59;корпус;1;53.3580087;58.9564864
39;Магнитогорск;8146.9;1993;9;ул. 50-летия Магнитки, 61;/chelyabinskaya-oblast/magnitogorsk/252490;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 61;455034;Орджоникидзевский;улица;50-летия Магнитки;8ecbbbc6-9b4f-4042-8ade-eac8576b8d40;7400000900000030027;74:33:0311001:474;дом;61;;;53.3573471;58.9559783
40;Магнитогорск;11441.6;1983;9;ул. 50-летия Магнитки, 62;/chelyabinskaya-oblast/magnitogorsk/633133;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 62;455047;Орджоникидзевский;улица;50-летия Магнитки;8b7a47c5-012c-4b95-a646-fef2a85ffab2;7400000900000030053;;дом;62;;;53.3599292;58.9539897
41;Магнитогорск;4336.1;—;10;ул. 50-летия Магнитки, 63А;/chelyabinskaya-oblast/magnitogorsk/160841;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 63А;455034;Орджоникидзевский;улица;50-летия Магнитки;d3e56117-56e4-4d59-ba4d-4045a22abb66;7400000900000030028;74:33:0311001:292;дом;63А;;;53.3574357;58.9543851
42;Магнитогорск;4336.1;1991;9;ул. 50-летия Магнитки, 63;/chelyabinskaya-oblast/magnitogorsk/937632;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 63;455034;Орджоникидзевский;улица;50-летия Магнитки;51251dbd-8796-4f8b-a58e-85e7e60fe3da;7400000900000030029;;дом;63;;;53.3574212;58.9548822
43;Магнитогорск;5610.8;1989;4;ул. 50-летия Магнитки, 64;/chelyabinskaya-oblast/magnitogorsk/252491;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 64;455047;Орджоникидзевский;улица;50-летия Магнитки;dcf4e975-ea4b-48e1-8c90-08cd760af380;7400000900000030055;;дом;64;;;53.3591892;58.953166
44;Магнитогорск;7983.8;1991;9;ул. 50-летия Магнитки, 65;/chelyabinskaya-oblast/magnitogorsk/540247;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 65;455034;Орджоникидзевский;улица;50-летия Магнитки;65035a22-3c12-458a-af74-22d0cf35de3c;7400000900000030030;;дом;65;;;53.3567811;58.954399
45;Магнитогорск;4187.6;1991;5;ул. 50-летия Магнитки, 65 корпус 1;/chelyabinskaya-oblast/magnitogorsk/252492;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 65 к 1;455034;Орджоникидзевский;улица;50-летия Магнитки;19db14fe-1b27-48fc-aa01-0e493f8d827f;7400000900000030031;;дом;65;корпус;1;53.3568383;58.9544505
46;Магнитогорск;4583.4;1998;13;ул. 50-летия Магнитки, 66;/chelyabinskaya-oblast/magnitogorsk/252493;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 66;455047;Орджоникидзевский;улица;50-летия Магнитки;8fac3f5a-c09b-49b8-bafd-d65306114e16;7400000900000030054;;дом;66;;;53.3590075;58.9545377
47;Магнитогорск;4562.2;1992;9;ул. 50-летия Магнитки, 67;/chelyabinskaya-oblast/magnitogorsk/252494;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 67;455034;Орджоникидзевский;улица;50-летия Магнитки;1c542902-7e00-4c8e-b7ca-a5e04da39842;7400000900000030032;74:33:0311001:485;дом;67;;;53.3566872;58.9532105
48;Магнитогорск;6181.5;1992;10;ул. 50-летия Магнитки, 67А;/chelyabinskaya-oblast/magnitogorsk/160842;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 67А;455034;Орджоникидзевский;улица;50-летия Магнитки;8fc5e2e1-58b7-4430-ad95-41892bca48ed;7400000900000030033;74:33:0311001:277;дом;67А;;;53.3566878;58.9527262
49;Магнитогорск;1892.9;1988;5;ул. 50-летия Магнитки, 68;/chelyabinskaya-oblast/magnitogorsk/252495;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 68;455047;Орджоникидзевский;улица;50-летия Магнитки;59607c66-3aac-431d-93cd-7a32a044fd93;7400000900000030056;74:33:0307001:229;дом;68;;;53.3587785;58.9539897
50;Магнитогорск;4151.2;1989;5;ул. 50-летия Магнитки, 70;/chelyabinskaya-oblast/magnitogorsk/252496;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 70;455047;Орджоникидзевский;улица;50-летия Магнитки;2b2fe61f-c7d3-43e2-ae5e-2acd9ccc52bb;7400000900000030057;;дом;70;;;53.3582515;58.9524536
51;Магнитогорск;4140.2;1979;5;ул. 50-летия Магнитки, 32/2;/chelyabinskaya-oblast/magnitogorsk/540839;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 32/2;455051;Орджоникидзевский;улица;50-летия Магнитки;72cf4273-7193-4972-ba38-e0b3c0fe4fa9;7400000900000030081;;дом;32/2;;;53.36049;58.975656
52;Магнитогорск;3427.1;1985;5;ул. 50-летия Магнитки, 32/3;/chelyabinskaya-oblast/magnitogorsk/540840;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 32/3;455051;Орджоникидзевский;улица;50-летия Магнитки;ae4356e4-0a11-47c5-9e15-9867f7bdf3b5;7400000900000030084;;дом;32/3;;;53.36087;58.975677
53;Магнитогорск;9409.6;1987;5;ул. 50-летия Магнитки, 44/1;/chelyabinskaya-oblast/magnitogorsk/540693;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 44/1;455051;Орджоникидзевский;улица;50-летия Магнитки;ed7ca52a-8354-4819-9b89-d03febe4ac78;7400000900000030090;;дом;44/1;;;53.36105;58.96666
54;Магнитогорск;4429.8;1984;5;ул. 50-летия Магнитки, 52/1 корпус 1;/chelyabinskaya-oblast/magnitogorsk/540442;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 52/1 к 1;455047;Орджоникидзевский;улица;50-летия Магнитки;8e733416-c353-4c63-8fcb-c401cb2bb7a6;7400000900000030048;;дом;52/1;корпус;1;53.361259;58.959325
55;Магнитогорск;3832.5;1984;5;ул. 50-летия Магнитки, 52/1 корпус 2;/chelyabinskaya-oblast/magnitogorsk/540443;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 52/1 к 2;455047;Орджоникидзевский;улица;50-летия Магнитки;5fd0b224-8383-42c1-84aa-c3717663ebce;7400000900000030047;;дом;52/1;корпус;2;53.36081;58.958214
56;Магнитогорск;13899.7;1983;9;ул. 50-летия Магнитки, 62/1;/chelyabinskaya-oblast/magnitogorsk/1106848;Челябинская обл, г Магнитогорск, ул 50-летия Магнитки, д 62/1;455047;Орджоникидзевский;улица;50-летия Магнитки;b147aa2b-e1eb-4d22-8416-4196d24e488b;7400000900000030161;74:33:0307001:6811;дом;62/1;;;53.3599292;58.9539897
57;Магнитогорск;3551.5;1972;5;ул. Ангарская, 135;/chelyabinskaya-oblast/magnitogorsk/334702;Челябинская обл, г Магнитогорск, ул Ангарская, д 135;455025;Правобережный;улица;Ангарская;c5248627-c4ee-426a-be8e-65fd49de56e1;7400000900000120163;74:33:0211006:100;дом;135;;;53.4061345;58.9542156
58;Магнитогорск;4205.3;1982;4;ул. Ангарская, 136;/chelyabinskaya-oblast/magnitogorsk/540842;Челябинская обл, г Магнитогорск, ул Ангарская, д 136;455025;Правобережный;улица;Ангарская;813791ef-6828-4075-a988-df14f656db17;7400000900000120019;74:33:0212004:218;дом;136;;;53.4062536;58.9556834
59;Магнитогорск;4988.1;1972;5;ул. Ангарская, 137;/chelyabinskaya-oblast/magnitogorsk/334703;Челябинская обл, г Магнитогорск, ул Ангарская, д 137;455025;Правобережный;улица;Ангарская;6f0b381e-8ed7-4147-8eda-18b319807702;7400000900000120017;;дом;137;;;53.4065664;58.9551045
60;Магнитогорск;3911.6;1972;5;ул. Ангарская, 139;/chelyabinskaya-oblast/magnitogorsk/334704;Челябинская обл, г Магнитогорск, ул Ангарская, д 139;455025;Правобережный;улица;Ангарская;4240ba7d-a488-40fa-bac9-63a25887c30e;7400000900000120018;;дом;139;;;53.4075554;58.9551746
61;Магнитогорск;375.9;1965;2;ул. Аносова, 33;/chelyabinskaya-oblast/magnitogorsk/1266637;Челябинская обл, г Магнитогорск, ул Аносова, д 33;455013;Орджоникидзевский;улица;Аносова;a0e7a104-af86-48cb-a815-26b4e453d0cb;7400000900004220014;74:33:1332001:2833;дом;33;;;53.4015317;59.1018455
62;Магнитогорск;1537.1;1996;3;ул. Аносова, 37;/chelyabinskaya-oblast/magnitogorsk/942878;Челябинская обл, г Магнитогорск, ул Аносова, д 37;455013;Орджоникидзевский;улица;Аносова;859d576f-2ebf-4c75-bd1f-3dd76ef07831;7400000900004220015;74:33:1332001:1944;дом;37;;;53.4020305;59.1031621
63;Магнитогорск;245.3;1994;3;ул. Аносова, 39 корпус 1;/chelyabinskaya-oblast/magnitogorsk/942880;Челябинская обл, г Магнитогорск, ул Аносова, д 39 к 1;455013;Орджоникидзевский;улица;Аносова;27edc406-9494-4d1f-9c33-2dd7e69bc18a;7400000900004220017;;дом;39;корпус;1;53.4024325;59.1037098
64;Магнитогорск;55.6;1971;3;ул. Аносова, 39;/chelyabinskaya-oblast/magnitogorsk/942879;Челябинская обл, г Магнитогорск, ул Аносова, д 39;455013;Орджоникидзевский;улица;Аносова;38922d5a-707e-457a-a770-4034a0e39fc4;7400000900004220016;74:33:1332001:1948;дом;39;;;53.4024603;59.1036589
65;Магнитогорск;1522.3;1997;3;ул. Аносова, 41;/chelyabinskaya-oblast/magnitogorsk/942881;Челябинская обл, г Магнитогорск, ул Аносова, д 41;455013;Орджоникидзевский;улица;Аносова;ae90987e-5f5a-441b-8760-7bd8fa6a8a8e;7400000900004220018;74:33:1332001:1916;дом;41;;;53.4039277;59.1063785
66;Магнитогорск;416.6;1957;2;ул. Аэродромная, 12;/chelyabinskaya-oblast/magnitogorsk/395491;Челябинская обл, г Магнитогорск, ул Аэродромная, д 12;455010;Орджоникидзевский;улица;Аэродромная;255b9592-12ac-44a1-b1bc-3d76bbcd31c9;7400000900000170001;74:33:1336017:16;дом;12;;;53.3828782;59.1020619
67;Магнитогорск;455.38;1957;2;ул. Аэродромная, 14;/chelyabinskaya-oblast/magnitogorsk/395492;Челябинская обл, г Магнитогорск, ул Аэродромная, д 14;455010;Орджоникидзевский;улица;Аэродромная;96b9f77c-cb47-44ba-a318-3429fa4a104d;7400000900000170002;74:33:1336017:20;дом;14;;;53.3825388;59.1017488
68;Магнитогорск;468.8;1957;2;ул. Аэродромная, 16;/chelyabinskaya-oblast/magnitogorsk/395493;Челябинская обл, г Магнитогорск, ул Аэродромная, д 16;455010;Орджоникидзевский;улица;Аэродромная;8476a7d6-f753-49b9-80f7-daebcdfb517a;7400000900000170003;;дом;16;;;53.382234;59.1014622
69;Магнитогорск;455.8;1957;2;ул. Аэродромная, 18;/chelyabinskaya-oblast/magnitogorsk/395494;Челябинская обл, г Магнитогорск, ул Аэродромная, д 18;455010;Орджоникидзевский;улица;Аэродромная;d055547b-bbfc-4fde-af7a-4fd6d2bf7c37;7400000900000170004;74:33:0000000:1851;дом;18;;;53.3818579;59.1011947
70;Магнитогорск;467.26;1958;2;ул. Аэродромная, 20;/chelyabinskaya-oblast/magnitogorsk/395495;Челябинская обл, г Магнитогорск, ул Аэродромная, д 20;455010;Орджоникидзевский;улица;Аэродромная;d6fb700b-ee07-4811-b588-343fb6995a5b;7400000900000170005;;дом;20;;;53.3815438;59.1008235
71;Магнитогорск;463;1958;2;ул. Аэродромная, 22;/chelyabinskaya-oblast/magnitogorsk/395496;Челябинская обл, г Магнитогорск, ул Аэродромная, д 22;455010;Орджоникидзевский;улица;Аэродромная;ecfdf9b4-d584-456c-b557-5b6b0c406d9b;7400000900000170006;74:33:0000000:2807;дом;22;;;53.38126;59.1006207
72;Магнитогорск;417.4;1958;2;ул. Аэродромная, 24;/chelyabinskaya-oblast/magnitogorsk/395497;Челябинская обл, г Магнитогорск, ул Аэродромная, д 24;455010;Орджоникидзевский;улица;Аэродромная;3c9a6114-656c-4ec7-aa3a-06302648954f;7400000900000170007;74:33:0000000:1845;дом;24;;;53.3808643;59.1002248
73;Магнитогорск;447.6;1958;2;ул. Аэродромная, 26;/chelyabinskaya-oblast/magnitogorsk/395498;Челябинская обл, г Магнитогорск, ул Аэродромная, д 26;455010;Орджоникидзевский;улица;Аэродромная;c4ddc289-3785-4cc9-86c2-64a9c56c5666;7400000900000170008;74:33:1336018:253;дом;26;;;53.3804905;59.0999323
74;Магнитогорск;686.3;1960;2;ул. Аэродромная, 28;/chelyabinskaya-oblast/magnitogorsk/395499;Челябинская обл, г Магнитогорск, ул Аэродромная, д 28;455010;Орджоникидзевский;улица;Аэродромная;dcc917cd-2364-413f-b409-5927a1c9a5b2;7400000900000170009;74:33:1336007:300;дом;28;;;53.3801731;59.099644
75;Магнитогорск;456.5;1959;2;ул. Аэродромная, 30;/chelyabinskaya-oblast/magnitogorsk/395500;Челябинская обл, г Магнитогорск, ул Аэродромная, д 30;455010;Орджоникидзевский;улица;Аэродромная;1029f7f6-5ae8-46bb-af8d-b5b64114c079;7400000900000170010;;дом;30;;;53.3798387;59.0992241
76;Магнитогорск;447.5;1960;2;ул. Аэродромная, 32;/chelyabinskaya-oblast/magnitogorsk/395501;Челябинская обл, г Магнитогорск, ул Аэродромная, д 32;455010;Орджоникидзевский;улица;Аэродромная;0f759d8d-f003-4459-82b2-796009a82ba4;7400000900000170011;74:33:0000000:1844;дом;32;;;53.3794062;59.0990467
77;Магнитогорск;625.3;1959;2;ул. Аэродромная, 34;/chelyabinskaya-oblast/magnitogorsk/395502;Челябинская обл, г Магнитогорск, ул Аэродромная, д 34;455010;Орджоникидзевский;улица;Аэродромная;d17126f7-2188-4a47-8382-0311b8fff095;7400000900000170012;74:33:1336018:252;дом;34;;;53.3790354;59.0987742
