number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
5686,Автобус,Остановка,СТУДЕНЧЕСКАЯ УЛ.,СТУДЕНЧЕСКАЯ УЛ.,"Ланское ш., Студенческая ул.",94.98,"59.996358,30.322030"
5687,Автобус,Остановка,СТУДЕНЧЕСКАЯ УЛ.,СТУДЕНЧЕСКАЯ УЛ.,"Ланское ш., Ланская ул.",94.98,"59.996645,30.323603"
5688,Автобус,Остановка,СУВОРОВСКАЯ ПЛОЩАДЬ [49],СУВОРОВСКАЯ ПЛОЩАДЬ,"Миллионная ул., Лебяжьего канала наб.",46.49,"59.945922,30.331910"
5689,Автобус,Остановка,СУВОРОВСКАЯ ПЛОЩАДЬ [49]<,СУВОРОВСКАЯ ПЛОЩАДЬ,"Миллионная ул., Лебяжьего канала наб.",46.49,"59.945641,30.331618"
5690,Автобус,Остановка,СУВОРОВСКИЙ ПР.,СУВОРОВСКИЙ ПР.,"ул. 8-я Советская, Суворовский пр.",15,"59.936680,30.373660"
5691,Автобус,Остановка,"СУВОРОВСКИЙ ПР., УГ. КИРОЧНОЙ УЛ.","СУВОРОВСКИЙ ПР., УГ. КИРОЧНОЙ УЛ.","Кирочная улица, Суворовский проспект",54,"59.942446,30.380514"
5692,Автобус,Остановка,"СУВОРОВСКИЙ ПР. УГ. ТУЛЬСКОЙ УЛ. [136, 22]<",СУВОРОВСКИЙ ПР. УГ. ТУЛЬСКОЙ УЛ.,"Тульская ул., Ярославская ул.","22,105,136,181","59.944247,30.387948"
5693,Автобус,Остановка,"СУВОРОВСКИЙ ПР. [24, 27, 15]",СУВОРОВСКИЙ ПР.,"Невский пр., Суворовский пр.","24,27,65,191","59.930150,30.367270"
5694,Автобус,Остановка,"СУВОРОВСКИЙ ПР. [24, 27, 15]<",СУВОРОВСКИЙ ПР.,"Невский пр., Суворовский пр.","24,27,65,191","59.929990,30.367295"
5695,Автобус,Остановка,"СУВОРОВСКИЙ ПР.,УГ.ТУЛЬСКОЙ УЛ.","СУВОРОВСКИЙ ПР.,УГ.ТУЛЬСКОЙ УЛ.","Суворовский пр., Одесская ул.","22,46,74,105,181","59.944699,30.386690"
5696,Автобус,Остановка,СУЗДАЛЬСКИЙ ПР.,СУЗДАЛЬСКИЙ ПРОСПЕКТ,"Суздальский проспект, Светлановский проспект",40,"60.047520,30.405951"
5697,Автобус,Остановка,СУЗДАЛЬСКИЙ ПР.,СУЗДАЛЬСКИЙ ПР.,"Светлановский пр., Суздальский пр.","98,102,153,176","60.046936,30.404330"
5698,Автобус,Остановка,СУЗДАЛЬСКИЙ ПР.. УГ. ГРАЖДАНСКОГО ПР.,СУЗДАЛЬСКИЙ ПР.. УГ. ГРАЖДАНСКОГО ПР.,"Суздальский проспект, Гражданский проспект",176,"60.043498,30.426776"
5699,Автобус,Остановка,"СУЗДАЛЬСКИЙ ПР., УГ. УЛ. ДЕМЬЯНА БЕДНОГО","СУЗДАЛЬСКИЙ ПР., УГ. УЛ. ДЕМЬЯНА БЕДНОГО","Суздальский пр., Демьяна Бедного ул.","40,61,93,98,102,153,183,193","60.050735,30.392346"
5700,Автобус,Остановка,"СУЗДАЛЬСКИЙ ПР., УГ. УЛ. ДЕМЬЯНА БЕДНОГО","СУЗДАЛЬСКИЙ ПР., УГ. УЛ. ДЕМЬЯНА БЕДНОГО","Демьяна Бедного ул., Суздальский пр.","61,93,183,193","60.049455,30.392089"
5701,Автобус,Остановка,СУЗДАЛЬСКИЙ ПР. УГ. УЛ. ЖЕНИ ЕГОРОВОЙ,СУЗДАЛЬСКИЙ ПР. УГ. УЛ. ЖЕНИ ЕГОРОВОЙ,"Суздальский проспект, улица Жени Егоровой",180,"60.066376,30.314496"
5702,Автобус,Остановка,СУЗДАЛЬСКИЙ ПР. УГ. УЛ. КОМПОЗИТОРОВ,СУЗДАЛЬСКИЙ ПР. УГ. УЛ. КОМПОЗИТОРОВ,"Суздальский проспект, улица Композиторов",180,"60.065182,30.320354"
5703,Автобус,Остановка,"СУЗДАЛЬСКИЙ ПР., УГ. УЛ. УШИНСКОГО","СУЗДАЛЬСКИЙ ПР., УГ. УЛ. УШИНСКОГО","Суздальский пр., Ушинского ул.",40,"60.045347,30.417495"
5704,Автобус,Остановка,СУЗДАЛЬСКОЕ ШОССЕ,СУЗДАЛЬСКОЕ ШОССЕ,Дорога в Каменку,173,"60.060894,30.251257"
5705,Автобус,Остановка,СУЗДАЛЬСКОЕ ШОССЕ,СУЗДАЛЬСКОЕ ШОССЕ,"дорога в Каменку, Суздальское шоссе",173.18,"60.060312,30.248578"
5706,Автобус,Остановка,СУЗДАЛЬСКОЕ ШОССЕ,СУЗДАЛЬСКОЕ ШОССЕ,"Суздальское шоссе, дорога в Каменку",180,"60.060226,30.249893"
5707,Автобус,Остановка,"СУПЕРМАРКЕТ ""О' КЕЙ"" [13, 13А, 39, 90, 187]","СУПЕРМАРКЕТ ""О' КЕЙ""",Пулковское ш.,"13,13А,39,90,150,155,187,301","59.827333,30.322247"
