number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1,Трамвай,Остановка,Авангардная ул.,Авангардная ул.,"Авангардная, Ветеранов",52,"59.833222,30.182669"
2,Трамвай,Остановка,Авангардная ул.,Авангардная ул.,"Ветеранов пр., Авангардная ул.",52,"59.833108,30.182092"
3,Трамвай,Остановка,Авиационная ул.,Авиационная ул.,"Ленсовета ул., Авиационная ул.",29,"59.854840,30.329810"
4,Трамвай,Остановка,Авиационная ул.,Авиационная ул.,"Авиационная, Юрия Гагарина",45,"59.855422,30.336086"
5,Трамвай,Остановка,Авиационная ул.,Авиационная ул.,"Авиационная ул., Демонстрационный проезд",29.45,"59.854890,30.323020"
6,Трамвай,Остановка,Администрация Московского района,Администрация Московского района,"Московский пр., Рощинская ул.",29.43,"59.884570,30.319940"
7,Трамвай,Остановка,Администрация Московского района,Администрация Московского района,"Московский, Рощинская",29.43,"59.884372,30.319750"
8,Трамвай,Остановка,Администрация Невского района,Администрация Невского района,"проспект Обуховской Обороны, переулок Матюшенко","24,27,39","59.878470,30.449380"
9,Трамвай,Остановка,Администрация Невского района,Администрация Невского района,"Обуховской обороны пр., Володарский мост","24,27,39","59.878030,30.449680"
10,Трамвай,Остановка,Администрация Приморского района,Администрация Приморского района,"Савушкина ул., Липовая аллея",19,"59.985127,30.254173"
11,Трамвай,Остановка,Администрация Приморского района,Администрация Приморского района,"Липовая аллея, Дибуновская ул.",19,"59.985495,30.254026"
12,Трамвай,Остановка,Аллея Славы,Аллея Славы,"Петергофское ш., Доблести ул.",36.6,"59.846350,30.178810"
13,Трамвай,Остановка,Аллея Славы,Аллея Славы,"Петергофское шоссе, ул. Доблести",36.6,"59.846540,30.179280"
14,Трамвай,Остановка,Алтайская ул.,Алтайская ул.,"улица Ленсовета, Алтайская улица",29,"59.849200,30.330130"
15,Трамвай,Остановка,Алтайская ул.,Алтайская ул.,"улица Ленсовета, Алтайская улица",29,"59.849740,30.329870"
16,Трамвай,Остановка,Апраксин Двор,Апраксин Двор,"Садовая улица, Мариинский проезд",3,"59.931240,30.328560"
17,Трамвай,Остановка,Апраксин Двор,Апраксин Двор,"Садовая улица, Александровская линия",3,"59.930320,30.326070"
18,Трамвай,Остановка,Арсенальная ул.,Арсенальная ул.,"Кондратьевский, Арсенальная",23,"59.957178,30.372908"
19,Трамвай,Остановка,Арсенальная ул.,Арсенальная ул.,"Комсомола, Арсенальная",23,"59.955986,30.372539"
20,Трамвай,Остановка,Б. Монетная ул.,Б. Монетная ул.,"Льва Толстого, Монетная Б.",40,"59.963667,30.327103"
21,Трамвай,Остановка,Б. Монетная ул.,Б. Монетная ул.,"ул. Котовского, Большая Монетная улица",40,"59.963215,30.328455"
22,Трамвай,Остановка,Б. Подьяческая ул.,Б. Подьяческая ул.,"Садовая улица, Большая Подьяческая улица",3,"59.922270,30.305900"
23,Трамвай,Остановка,Б. Пороховская ул.,Б. Пороховская ул.,"Среднеохтинский, Пороховская Б.",10.23,"59.952856,30.415042"
24,Трамвай,Остановка,Б. Пороховская ул.,Б. Пороховская ул.,"Среднеохтинский, Пороховская Б.",23,"59.954300,30.415083"
25,Трамвай,Остановка,"Б. Пороховская ул., 21","Б. Пороховская ул., 21","Большая Пороховская ул., Среднеохтинский пр.",10,"59.953410,30.416330"
26,Трамвай,Остановка,"Б. Пороховская ул., 46","Б. Пороховская ул., 46","Большая Пороховская ул., Дегтярева ул.",10,"59.953170,30.430230"
27,Трамвай,Остановка,"Б. Пороховская ул., 46","Б. Пороховская ул., 46","Большая Пороховская ул., Дегтярева ул.",10,"59.953247,30.430969"
28,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Боткинская ул., Большой Сампсониевский проспект",3.6,"59.959260,30.346700"
29,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Сердобольская улица, Большой Сампсониевский проспект",21.4,"59.994670,30.330410"
30,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Гренадерская ул., Большой Сампсониевский пр.",61,"59.969221,30.342506"
31,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"Боткинская, Сампсониевский Б.",3.6,"59.959108,30.347083"
32,Трамвай,Остановка,Б. Сампсониевский пр.,Б. Сампсониевский пр.,"1-й Муринский проспект, Большой Сампсониевский пр.",20.48,"59.988500,30.334595"
33,Трамвай,Остановка,Байконурская ул.,Байконурская ул.,"Испытателей пр., Байконурская ул.",47.55,"60.005970,30.275820"
34,Трамвай,Остановка,Байконурская ул.,Байконурская ул.,"Испытателей, Байконурская",47.55,"60.005731,30.276686"
35,Трамвай,Остановка,Баррикадная ул.,Баррикадная ул.,"Трефолева ул., Баррикадная ул.",36,"59.891870,30.261760"
36,Трамвай,Остановка,Баррикадная ул.,Баррикадная ул.,"Трефолева, Баррикадная",36,"59.891992,30.262419"
37,Трамвай,Остановка,"Бассейн ""Атлантика""","Бассейн ""Атлантика""","проспект Обуховской Обороны, Шлиссельбургский проспект",24.27,"59.843200,30.484100"
38,Трамвай,Остановка,"Бассейн ""Атлантика""","Бассейн ""Атлантика""","проспект Обуховской Обороны, Шлиссельбургский проспект",24.27,"59.843360,30.484310"
39,Трамвай,Остановка,Благодатная ул.,Благодатная ул.,"Московский проспект, Благодатная улица",29.43,"59.876210,30.319890"
40,Трамвай,Остановка,Благодатная ул. Университет МЧС,Благодатная ул. Университет МЧС,"Московский пр., Благодатная ул.",29.45,"59.875530,30.320180"
41,Трамвай,Остановка,Богатырский пр.,Богатырский пр.,"Стародеревенская ул., Богатырский пр.",18,"60.002830,30.245460"
42,Трамвай,Остановка,Богатырский пр.,Богатырский пр.,"Стародеревенская улица, Богатырский проспект",18,"60.002180,30.245330"
43,Трамвай,Остановка,Бокситогорская ул.,Бокситогорская ул.,"Ириновский пр., Бокситогорская ул.",10,"59.952920,30.449210"
44,Трамвай,Остановка,Бокситогорская ул.,Бокситогорская ул.,"Ириновский проспект, ул. Бокситогорская",10,"59.953030,30.448530"
45,Трамвай,Остановка,Болотная ул.,Болотная ул.,"Муринский 2-й, Болотная",40.55,"59.999825,30.353342"
46,Трамвай,Остановка,Болотная ул.,Болотная ул.,"Муринский 2-й, Болотная",40.55,"59.999856,30.352667"
47,Трамвай,Остановка,Большой проспект П.С.,Большой проспект П.С.,"набережная реки Карповки, Большой проспект П.С.",40,"59.967800,30.313580"
48,Трамвай,Остановка,Большой проспект П.С.,Большой проспект П.С.,"набережная реки Карповки, Большой проспект П.С.",40,"59.967770,30.314360"
49,Трамвай,Остановка,Боткинская ул.,Боткинская ул.,"улица Академика Лебедева, Боткинская улица",20,"59.958720,30.353210"
50,Трамвай,Остановка,"Боткинская ул. (оборотная, посадки/высадки нет)","Боткинская ул. (оборотная, посадки/высадки нет)","Боткинская ул., ул. Академика Лебедева",23,"59.958030,30.353290"
51,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"Димитрова ул., Будапештская ул.",25.43,"59.848140,30.386410"
52,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"Димитрова, Будапештская",25.43,"59.848486,30.387294"
53,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"ул. Ярослава Гашека, ул. Будапештская",45.62,"59.835290,30.400560"
54,Трамвай,Остановка,Будапештская ул.,Будапештская ул.,"Ярослава Гашека ул., Будапештская ул.",45.62,"59.834950,30.399760"
55,Трамвай,Остановка,Бухарестская ул.,Бухарестская ул.,"Димитрова ул., Бухарестская ул.",25.43,"59.851420,30.399190"
56,Трамвай,Остановка,"Бухарестская ул., 118","Бухарестская ул., 118",Бухарестская ул.,45.49,"59.846680,30.404850"
57,Трамвай,Остановка,"Бухарестская ул., 118","Бухарестская ул., 118",ул. Бухарестская,45.49,"59.846320,30.405500"
58,Трамвай,Остановка,"Бухарестская улица, 1","Бухарестская улица, 1","Бухарестская, Стрельбищенская",25.49,"59.890722,30.360156"
59,Трамвай,Остановка,"Бухарестская улица, 6","Бухарестская улица, 6","ул. Бухарестская, ул. Стрельбищенская",25.49,"59.890620,30.360470"
60,Трамвай,Остановка,Введенская ул.,Введенская ул.,"Кронверкский проспект, Александровский парк",6.4,"59.955060,30.308010"
61,Трамвай,Остановка,Введенская ул.,Введенская ул.,"Кронверкский, Введенская",6.4,"59.954781,30.307792"
62,Трамвай,Остановка,"Вещевой рынок ""Гражданский""","Вещевой рынок ""Гражданский""","ул. Руставели, Северный проспект","51,57,100","60.017710,30.432920"
63,Трамвай,Остановка,"Вещевой рынок ""Гражданский""","Вещевой рынок ""Гражданский""","Руставели ул., Северный пр.","51,57,100","60.017700,30.433150"
64,Трамвай,Остановка,"Витебский вокзал. Ст. метро ""Пушкинская""","Витебский вокзал. Ст. метро ""Пушкинская""","Загородный пр., Винокурцевский проезд",16,"59.920550,30.328570"
65,Трамвай,Остановка,"Витебский вокзал. Ст. метро ""Пушкинская""","Витебский вокзал. Ст. метро ""Пушкинская""","Загородный проспект, Введенский канал",16,"59.920360,30.327650"
66,Трамвай,Остановка,Витебский пр.,Витебский пр.,"Благодатная ул., Витебский пр.",43.45,"59.877810,30.347890"
67,Трамвай,Остановка,Витебский пр.,Витебский пр.,"ул. Благодатная, Витебский проспект",43.45,"59.877790,30.347120"
68,Трамвай,Остановка,Вознесенский пр.,Вознесенский пр.,"Садовая улица, переулок Бойцова",3,"59.923560,30.309930"
69,Трамвай,Остановка,Волковский пр.,Волковский пр.,"Мгинская ул., Волковский пр.",16,"59.901340,30.366020"
70,Трамвай,Остановка,Волковский пр.,Волковский пр.,"Мгинская, Волковский",16,"59.901683,30.364533"
71,Трамвай,Остановка,Волковский пр.,Волковский пр.,"ул. Салова, Волковский проспект",43.45,"59.879870,30.357170"
72,Трамвай,Остановка,Волковский пр.,Волковский пр.,"Салова ул., Волковский пр.",43.45,"59.879550,30.356340"
73,Трамвай,Остановка,Вяземский пер.,Вяземский пер.,"Вяземский переулок, Песочная набережная",40,"59.975170,30.299200"
74,Трамвай,Остановка,Вяземский пер.,Вяземский пер.,"Иоанновский, Профессора Попова",40,"59.970986,30.301797"
75,Трамвай,Остановка,Гаванская ул.,Гаванская ул.,"Средний, Гаванская",6.4,"59.931864,30.240761"
76,Трамвай,Остановка,Гаванская ул.,Гаванская ул.,"Малый проспект В.О., Гаванская улица",6.4,"59.937744,30.237331"
77,Трамвай,Остановка,Гаккелевская ул.,Гаккелевская ул.,"Мебельная ул., Торфяная дорога",18,"59.994440,30.253614"
78,Трамвай,Остановка,Горохов пер.,Горохов пер.,"Савушкина ул., Приморский пр.","19,21,48","59.984408,30.248284"
79,Трамвай,Остановка,"Гостиница ""Выборгская""","Гостиница ""Выборгская""","Торжковская улица, набережная Чёрной речки","21,40,48","59.987160,30.304540"
80,Трамвай,Остановка,"Гостиница ""Выборгская""","Гостиница ""Выборгская""","Торжковская ул., Чернореченская ул.","21,40,48","59.987313,30.305500"
81,Трамвай,Остановка,"Гостиница ""Санкт-Петербург""","Гостиница ""Санкт-Петербург""","Финляндский, Оренбургская",3.6,"59.958083,30.342503"
82,Трамвай,Остановка,"Гостиница ""Санкт-Петербург""","Гостиница ""Санкт-Петербург""","Финляндский, Оренбургская",3.6,"59.958139,30.341378"
83,Трамвай,Остановка,Гостиный Двор,Гостиный Двор,"Садовая улица, переулок Крылова",3,"59.932890,30.332460"
84,Трамвай,Остановка,Гостиный Двор,Гостиный Двор,"Садовая улица, переулок Крылова",3,"59.933110,30.332650"
85,Трамвай,Остановка,Гранитная ул,,"Новочеркасский проспект, Дальневосточный проспект","7,10,23,39,65","59.920398,30.422340"
86,Трамвай,Остановка,Гранитная ул,,"Новочеркасский проспект, Дальневосточный проспект","7,10,23,39,65","59.920358,30.422201"
87,Трамвай,Остановка,Дальневосточный пр.,Дальневосточный пр.,"ул. Дыбенко, Дальневосточный проспект","7,23,А.","59.901300,30.459390"
88,Трамвай,Остановка,Дальневосточный пр.,Дальневосточный пр.,"Дальневосточный проспект, Народная улица","7,27,39","59.882530,30.469330"
89,Трамвай,Остановка,Дальневосточный пр.,Дальневосточный пр.,"ул. Коллонтай, Дальневосточный проспект","10,27,65,А","59.912630,30.439900"
90,Трамвай,Остановка,"Дальневосточный пр., 11","Дальневосточный пр., 11","Дальневосточный проспект, улица Коллонтай","23,27,39,А","59.911910,30.439750"
91,Трамвай,Остановка,"Дальневосточный пр., 12","Дальневосточный пр., 12",Дальневосточный проспект,"10,23,39,65","59.913962,30.435510"
92,Трамвай,Остановка,"Дальневосточный пр., 12","Дальневосточный пр., 12",Дальневосточный проспект,"10,23,39,65","59.914165,30.434780"
93,Трамвай,Остановка,Детская музыкальная школа,Детская музыкальная школа,"Московский пр., Детский пер.",29,"59.894070,30.319420"
94,Трамвай,Остановка,Детская музыкальная школа,Детская музыкальная школа,"Московский проспект, Детский переулок",29,"59.894150,30.319240"
95,Трамвай,Остановка,Детская музыкальная школа,Детская музыкальная школа,проспект Луначарского,"9,20,55","60.041440,30.340310"
96,Трамвай,Остановка,Детская музыкальная школа,Детская музыкальная школа,проспект Луначарского,"9,20,55","60.041370,30.339910"
97,Трамвай,Остановка,ДК «Невский»,ДК «Невский»,Обуховской обороны пр.,"7,24,65","59.906120,30.418310"
98,Трамвай,Остановка,ДК «Невский»,ДК «Невский»,Обуховской обороны пр.,"7,24,65","59.906320,30.417790"
99,Трамвай,Остановка,Днепропетровская ул.,Днепропетровская ул.,"Расстанная ул., Камчатская ул.","16,25,49","59.905870,30.352550"
100,Трамвай,Остановка,Днепропетровская ул.,Днепропетровская ул.,"Расстанный, Днепропетровская",16,"59.905772,30.355192"
101,Трамвай,Остановка,Днепропетровская ул.,Днепропетровская ул.,"Камчатская ул., Расстанная ул.",25.49,"59.904960,30.355030"
102,Трамвай,Остановка,Долгоозёрная ул.,Долгоозёрная ул.,"проспект Авиаконструкторов, Долгоозёрная улица","18,47,55","60.014000,30.241930"
103,Трамвай,Остановка,Долгоозёрная ул.,Долгоозёрная ул.,"проспект Авиаконструкторов, Долгоозёрная улица","18,47,55","60.014220,30.241890"
104,Трамвай,Остановка,Дом детского творчества,Дом детского творчества,"проспект Авиаконструкторов, улица Шаврова","18,47,55","60.021410,30.233240"
105,Трамвай,Остановка,Дом детского творчества,Дом детского творчества,"проспект Авиаконструкторов, ул. Шаврова","18,47,55","60.021390,30.233470"
106,Трамвай,Остановка,Дунайский пр.,Дунайский пр.,"ул. Купчинская, Дунайский проспект",25.43,"59.836530,30.389120"
107,Трамвай,Остановка,Дунайский пр.,Дунайский пр.,"Купчинская, Дунайский",25.43,"59.837117,30.388319"
108,Трамвай,Остановка,Дунайский пр.,Дунайский пр.,"Бухарестская, Дунайский",45.49,"59.842394,30.409219"
109,Трамвай,Остановка,Дунайский пр.,Дунайский пр.,"ул. Бухарестская, Дунайский проспект",45.49,"59.841960,30.409920"
110,Трамвай,Остановка,Елецкая ул.,Елецкая ул.,"проспект Энгельса, Елецкая улица","9,20,21","60.017790,30.321800"
111,Трамвай,Остановка,Елизаветинская ул.,Елизаветинская ул.,"Выборгское, Елизаветинская",21,"60.047411,30.313556"
112,Трамвай,Остановка,Енотаевская ул.,Енотаевская ул.,"Энгельса, Енотаевская",20.21,"60.016653,30.322447"
113,Трамвай,Остановка,Ж.-д. станция Кушелевка,Ж.-д. станция Кушелевка,"Политехническая улица, Полюстровский проспект",48,"59.991210,30.352340"
114,Трамвай,Остановка,Ж.-д. станция Кушелевка,Ж.-д. станция Кушелевка,"Политехническая ул., Полюстровский пр.",48.61,"59.991040,30.352160"
115,Трамвай,Остановка,Ж.-д. станция Кушелевка,Ж.-д. станция Кушелевка,"Политехническая улица, улица Карбышева",61,"59.991630,30.353500"
116,Трамвай,Остановка,Ж.-д. станция Кушелевка,Ж.-д. станция Кушелевка,"Политехническая улица, улица Карбышева",38.61,"59.991830,30.354380"
117,Трамвай,КП,"Ж.-д. станция Кушелевка (оборотная, посадки/высадки нет)","Ж.-д. станция Кушелевка (оборотная, посадки/высадки нет)","Политехническая ул., Полюстровский пр.",38.48,"59.990967,30.353500"
118,Трамвай,Остановка,Ж.-д. станция Ланская,Ж.-д. станция Ланская,"Сердобольская улица, Большой Сампсониевский проспект","21,40,48","59.994530,30.329380"
119,Трамвай,Остановка,Ж.-д. станция Ланская,Ж.-д. станция Ланская,"Сердобольская улица, Студенческая улица","21,40,48","59.993417,30.325600"
120,Трамвай,Остановка,Ж.-д. станция Мурино,Ж.-д. станция Мурино,"Руставели, Просвещения",51.1,"60.032469,30.432600"
121,Трамвай,Остановка,Ж.-д. станция Ржевка,Ж.-д. станция Ржевка,"Ржевская площадь, Рябовское шоссе",64,"59.980582,30.508899"
122,Трамвай,Остановка,Ж.-д. станция Ржевка,Ж.-д. станция Ржевка,"Ржевская площадь, Рябовское шоссе",64,"59.980654,30.508942"
123,Трамвай,Остановка,Ж.-д. станция Ручьи,Ж.-д. станция Ручьи,ул. Руставели,"51,57,100","60.006430,30.435930"
124,Трамвай,Остановка,Ж.-д. станция Ручьи,Ж.-д. станция Ручьи,"Руставели ул., ул. Руставели","51,57,100","60.006244,30.436419"
125,Трамвай,Остановка,"Ж.-.д станция ""Ручьи "" (оборотная)","Ж.-.д станция ""Ручьи "" (оборотная)","Руставели ул., ул. Руставели",100,"60.004847,30.438386"
126,Трамвай,Остановка,Ж.-д. станция Старая Деревня,Ж.-д. станция Старая Деревня,"Липовая аллея, Торфяная дорога",19,"59.987850,30.253000"
127,Трамвай,Остановка,"Завод ""Красный Выборжец""","Завод ""Красный Выборжец""","Кондратьевский пр., Ватутина ул.",23,"59.960690,30.377070"
128,Трамвай,Остановка,"Завод ""Красный Выборжец""","Завод ""Красный Выборжец""",Кондратьевский пр.,23,"59.960020,30.376440"
129,Трамвай,Остановка,Загребский бульвар,Загребский бульвар,"ул. Ярослава Гашека, Загребский бульвар",45.62,"59.837270,30.408260"
130,Трамвай,Остановка,Загребский бульвар,Загребский бульвар,"Ярослава Гашека ул., Загребcкий бульвар",45.62,"59.836960,30.407650"
131,Трамвай,Остановка,Загребский бульвар,Загребский бульвар,"улица Димитрова, Загребский бульвар",25.43,"59.850500,30.395050"
132,Трамвай,Остановка,Загребский бульвар,Загребский бульвар,"улица Димитрова, Загребский бульвар",25.43,"59.850330,30.394880"
133,Трамвай,Остановка,Заневская пл.,Заневская пл.,"Новочеркасский пр., Заневский пр.","7,10,23,39,65","59.928000,30.412560"
134,Трамвай,Остановка,Заневская пл.,Заневская пл.,"Новочеркасский проспект, Заневская площадь","10,23,39","59.930060,30.411130"
135,Трамвай,Остановка,Запорожская ул.,Запорожская ул.,"заезд на КАД (к Софийской ул.), Рабфаковская",24.27,"59.855014,30.478106"
136,Трамвай,Остановка,Запорожская ул.,Запорожская ул.,"заезд на КАД (к Софийской ул.), Рабфаковская",24.27,"59.855267,30.477831"
137,Трамвай,Остановка,"Заставская ул., Кукольный театр сказки","Заставская ул., Кукольный театр сказки","Московский проспект, Заставская улица",29.43,"59.888880,30.319489"
138,Трамвай,Остановка,"Заставская ул., Кукольный театр сказки","Заставская ул., Кукольный театр сказки","Московский проспект, Заставская улица",29.43,"59.888550,30.319800"
139,Трамвай,Остановка,Звенигородская ул.,Звенигородская ул.,"Марата, Звенигородская",16,"59.919914,30.339983"
140,Трамвай,Остановка,Зверинская ул.,Зверинская ул.,"Кронверкский, Зверинская","Т1,6,40","59.951644,30.305925"
141,Трамвай,Остановка,Зольная ул.,Зольная ул.,"Дальневосточный проспект, ул. Зольная","10,23,39,65","59.918310,30.425450"
142,Трамвай,Остановка,Зольная ул.,Зольная ул.,"Дальневосточный, Зольная","10,23,39,65","59.918061,30.425747"
143,Трамвай,Остановка,Измайловский пр.,Измайловский пр.,"1-я Красноармейская ул., Измайловский пр.",16,"59.916030,30.308050"
144,Трамвай,Остановка,Индустриальный пр.,Индустриальный пр.,"Косыгина, Индустриальный","8,59,63,64","59.944461,30.477150"
145,Трамвай,Остановка,Индустриальный пр.,Индустриальный пр.,"проспект Косыгина, Индустриальный проспект","8,59,63,64","59.944860,30.478840"
146,Трамвай,Остановка,Индустриальный пр.,Индустриальный пр.,"Ириновский проспект, Индустриальный проспект",63,"59.955682,30.466306"
147,Трамвай,Остановка,Индустриальный пр.,Индустриальный пр.,"Ириновский проспект, Индустриальный проспект",63,"59.956088,30.467470"
148,Трамвай,Остановка,Инженерная ул.,Инженерная ул.,"Садовая улица, Инженерная улица",3,"59.937660,30.336320"
149,Трамвай,Остановка,Институтский пр.,Институтский пр.,"Муринский 2-й, Институтский",40.55,"60.000544,30.348289"
150,Трамвай,Остановка,Институтский пр.,Институтский пр.,"Муринский 2-й, Институтский",40.55,"60.000575,30.347625"
151,Трамвай,Остановка,Ириновский пр.,Ириновский пр.,"проспект Наставников, Ириновский проспект","59,63,64","59.958423,30.478504"
152,Трамвай,Остановка,Искровский пр.,Искровский пр.,"улица Дыбенко, Искровский проспект","7,23,А.","59.903655,30.469347"
153,Трамвай,Остановка,Искровский пр.,Искровский пр.,"улица Дыбенко, Искровский проспект","7,23,А","59.903280,30.468480"
154,Трамвай,Остановка,Искровский пр.,Искровский пр.,"улица Коллонтай, Искровский проспект","10,27,65,А.","59.916260,30.455930"
155,Трамвай,Остановка,Искровский пр.,Искровский пр.,"ул. Коллонтай, Искровский проспект","10,27,65,А","59.916670,30.457040"
156,Трамвай,Остановка,Исполкомская ул.,Исполкомская ул.,"Исполкомская ул., Херсонская ул.",24,"59.928049,30.381993"
157,Трамвай,Остановка,Исполкомская ул.,Исполкомская ул.,"Херсонская ул., Исполкомская ул.",24,"59.928313,30.380909"
158,Трамвай,Остановка,Итальянская ул.,Итальянская ул.,"Садовая улица, Итальянская улица",3,"59.935950,30.336000"
159,Трамвай,Остановка,Каменноостровский пр.,Каменноостровский пр.,"Каменноостровский, Березовая 2-я",40,"59.980214,30.299164"
160,Трамвай,Остановка,Каменноостровский пр.,Каменноостровский пр.,"набережная реки Карповки, Силин мост",40,"59.969370,30.307130"
161,Трамвай,Остановка,Каменноостровский пр.,Каменноостровский пр.,"набережная реки Карповки, Каменноостровский проспект",40,"59.969403,30.309200"
162,Трамвай,Остановка,Каменноостровский пр.,Каменноостровский пр.,"Каменноостровский проспект, 1-я Берёзовая аллея",40,"59.979530,30.299480"
163,Трамвай,Остановка,Камышовая ул.,Камышовая ул.,"Стародеревенская ул., Камышовая ул.",18,"60.006250,30.247270"
164,Трамвай,Остановка,Камышовая ул.,Камышовая ул.,"Стародеревенская, Камышовая",18,"60.005758,30.247178"
165,Трамвай,Остановка,Карельский пер.,Карельский пер.,"улица Савушкина, Карельский переулок",21.48,"59.985758,30.294700"
166,Трамвай,Остановка,Кикенка,Кикенка,"Красносельское шоссе, Санкт-Петербургское шоссе",36,"59.849390,30.066870"
167,Трамвай,Остановка,Кикенка,Кикенка,"Красносельское шоссе, Санкт-Петербургское шоссе",36,"59.849464,30.067492"
168,Трамвай,Остановка,Кировский завод,Кировский завод,Корабельная ул.,52.6,"59.876670,30.247250"
169,Трамвай,Остановка,Кировский завод,Кировский завод,Корабельная ул.,52.6,"59.876600,30.247200"
170,Трамвай,Остановка,Ковалёвская ул.,Ковалёвская ул.,"Рябовское ш., Ковалёвская ул.",64,"59.977030,30.505830"
171,Трамвай,Остановка,Ковалёвская ул.,Ковалёвская ул.,"Ковалёвская улица, Рябовское шоссе",64,"59.977034,30.506043"
172,Трамвай,Остановка,Комсомольская пл.,Комсомольская пл.,"Новостроек, Стачек",36,"59.877233,30.259586"
173,Трамвай,Остановка,Комсомольская пл.,Комсомольская пл.,"Кронштадтская, Стачек",36,"59.877742,30.257278"
174,Трамвай,Остановка,Кондратьевский пр.,Кондратьевский пр.,"Жукова ул., Кондратьевский пр.",23,"59.967640,30.384510"
175,Трамвай,КП,"Конечная станция ""ж.-д. станция Сосновая Поляна""","Конечная станция ""ж.-д. станция Сосновая Поляна""","Лётчика Пилютова ул., Пограничника Гарькавого ул.",52,"59.825530,30.145560"
176,Трамвай,КП,"Конечная станция ""Завод ""Северная верфь""","Конечная станция ""Завод ""Северная верфь""",Корабельная ул.,52.6,"59.875514,30.243894"
177,Трамвай,КП,"Конечная станция ""Карбюраторный завод"" (посадки/высадки нет)","Конечная станция ""Карбюраторный завод"" (посадки/высадки нет)","Мгинская, Самойловой",16,"59.900856,30.371694"
178,Трамвай,КП,"Конечная станция ""Лахтинский разлив"" (посадки/высадки нет)","Конечная станция ""Лахтинский разлив"" (посадки/высадки нет)","Приморский проспект, Приморское шоссе",19.48,"59.989860,30.189220"
179,Трамвай,ДС,"Конечная станция ""М. Балканская ул."" (посадки/высадки нет)","Конечная станция ""М. Балканская ул."" (посадки/высадки нет)","Малая Балканская ул., Бухарестская ул.",49.62,"59.827460,30.421890"
180,Трамвай,ДС,"Конечная станция ""Музей городского электрического транспорта""","Конечная станция ""Музей городского электрического транспорта""","Средний проспект В.О., 20-21-я линии В.О.",Т1,"59.938901,30.260978"
181,Трамвай,КП,"Конечная станция ""Мясокомбинат""","Конечная станция ""Мясокомбинат""","Московское ш., Ленсовета ул.",29,"59.829447,30.347889"
182,Трамвай,КП,"Конечная станция ""пос. Стрельна""","Конечная станция ""пос. Стрельна""",Санкт-Петербургское ш.,36,"59.851244,30.062050"
183,Трамвай,Остановка,"Конечная станция ""Пр. Культуры""","Конечная станция ""Пр. Культуры""","Придорожная аллея, Суздальский проспект",20.58,"60.052125,30.377998"
184,Трамвай,КП,"Конечная станция ""Пр. Мечникова""","Конечная станция ""Пр. Мечникова""","Куракина ул., Пискаревский пр.","9,38,51","59.983450,30.427381"
185,Трамвай,Остановка,"Конечная станция ""Пр. Солидарности"" (посадки/высадки нет)","Конечная станция ""Пр. Солидарности"" (посадки/высадки нет)","ул. Подвойского, проспект Солидарности","7,10,23","59.917389,30.498058"
186,Трамвай,КП,"Конечная станция ""Пр. Юрия Гагарина"" (посадки/высадки нет)","Конечная станция ""Пр. Юрия Гагарина"" (посадки/высадки нет)","проспект Юрия Гагарина, Авиационная улица",45,"59.856200,30.336360"
187,Трамвай,Остановка,"Конечная станция ""Придорожная аллея""","Конечная станция ""Придорожная аллея""","Придорожная, Суздальский",58.1,"60.059244,30.343681"
188,Трамвай,Остановка,"Конечная станция ""Приморский пр."" (посадки/высадки нет)","Конечная станция ""Приморский пр."" (посадки/высадки нет)","Приморский пр., Савушкина ул.",21,"59.984030,30.240980"
189,Трамвай,ДС,"Конечная станция ""Река Оккервиль""","Конечная станция ""Река Оккервиль""","улица Дыбенко, Дыбенко ул.","27,65,А.,А","59.908878,30.494672"
190,Трамвай,КП,"Конечная станция ст. ""ж.-д. станция Ржевка"" (посадки/высадки нет)","Конечная станция ст. ""ж.-д. станция Ржевка"" (посадки/высадки нет)","КАД, Рябовское ш.",64,"59.980160,30.510420"
191,Трамвай,Остановка,"Конечная станция ""Ст. метро ""Купчино""","Конечная станция ""Ст. метро ""Купчино""","Ярослава Гашека, Балканская М.","25,43,45,62","59.831214,30.378150"
192,Трамвай,ДС,"Конечная станция ""Ст. метро ""Рыбацкое"" (посадки/высадки нет)","Конечная станция ""Ст. метро ""Рыбацкое"" (посадки/высадки нет)","Тепловозная улица, улица Дмитрия Устинова",24.27,"59.833778,30.499139"
193,Трамвай,Остановка,"Конечная станция ""Ст. метро ""Старая Деревня""","Конечная станция ""Ст. метро ""Старая Деревня""","Мебельная ул., Торфяная дорога",18,"59.990240,30.254300"
194,Трамвай,Остановка,"Конечная станция ""Суздальский пр.""","Конечная станция ""Суздальский пр.""","Светлановский пр., Суздальский пр.",51.61,"60.046370,30.406490"
195,Трамвай,ДС,"Конечная станция ""Тихорецкий пр.""","Конечная станция ""Тихорецкий пр.""","проспект Раевского, Тихорецкий пр.",40.57,"60.011960,30.367500"
