number;name;address;note;coordinates;lat;lon
64;Достоевская ;г. Санкт-Петербург, Владимирский пр., д.23;-;[59.928215, 30.346233];59.928215;30.346233
65;Шушары;г.Санкт-Петербург, Софийская ул., д 113;-;[59.809704, 30.465376];59.809704;30.465376
66;Дунайская-1;г.Санкт-Петербург, ул. Бухарестская, д.83;-;[59.862476, 30.389177];59.862476;30.389177
67;Дунайская-2;г.Санкт-Петербург, ул. Бухарестская, д.83;-;[59.862476, 30.389177];59.862476;30.389177
68;Проспект Славы-1;г.Санкт-Петербург, ул. Бухарестская, д.100;-;[59.857956, 30.396097];59.857956;30.396097
69;Проспект Славы-2;г.Санкт-Петербург, ул. Бухарестская, д.100;-;[59.857956, 30.396097];59.857956;30.396097
70;Международная ;г. Санкт-Петербург, ул. Белы Куна, д.3;-;[59.870155, 30.379152];59.870155;30.379152
71;Бухарестская ;г. Санкт-Петербург, ул. Бухарестская, д.30;-;[59.8837, 30.369324];59.8837;30.369324
72;Волковская ;г. Санкт-Петербург, Волковский пр., д.32;-;[59.896095, 30.357105];59.896095;30.357105
73;Обводный канал;г. Санкт-Петербург, Лиговский пр., д.153;-;[59.914692, 30.349598];59.914692;30.349598
74;Адмиралтейская ;г. Санкт-Петербург, Малая морская ул., 4/1;-;[59.93594, 30.314856];59.93594;30.314856
75;Спортивная ;г. Санкт-Петербург, пр. Добролюбова, д.20 корпус 1, литер В;-;[59.951553, 30.29001];59.951553;30.29001
76;Спортивная-2;г. Санкт-Петербург, набережная Макарова;-;[59.94588, 30.291922];59.94588;30.291922
77;Чкаловская;г. Санкт-Петербург, ул. Большая Зеленина, д. 12;-;[59.960934, 30.29207];59.960934;30.29207
78;Крестовский остров ;г. Санкт-Петербург, Рюхина улица, д.8;-;[59.97179, 30.259415];59.97179;30.259415
79;Старая деревня;г. Санкт-Петербург, Торфяная дорога, д.4;-;[60.203392, 29.689419];60.203392;29.689419
80;Комендантский пр. ;г. Санкт-Петербург, Комендантский пр., 13 литер а;-;[60.00951, 30.258827];60.00951;30.258827
